team,season,pressure_rate_forced,hurry_rate_forced,hit_rate_forced
ARI,2018,0.25690604903381675,0.10588695264231636,0.06596236394111511
ARI,2019,0.19568692683840816,0.07020828672828384,0.06572690672435083
ARI,2020,0.24281345992306727,0.08452367275802974,0.08606046680817574
ARI,2021,0.24644408045260524,0.08422772369899166,0.09670590498773117
ARI,2022,0.2248318844938495,0.07237738747404744,0.0970164981035104
ARI,2023,0.16032861232553827,0.06342670377713601,0.04052261630205912
ARI,2024,0.18265902289822192,0.058041184846163975,0.05462699750227198
ARI,2025,0.1758138371560983,0.06129289735717188,0.06613181030642229
ATL,2018,0.2050582297803291,0.10174644989100298,0.046959899949693684
ATL,2019,0.18342625841097282,0.08571320486494056,0.04971365882166553
ATL,2020,0.2289734127570901,0.09100225378807426,0.09540558864878754
ATL,2021,0.15953786857806182,0.06743353207938696,0.06414409149014856
ATL,2022,0.1430969524403432,0.029666441359583347,0.07678373057774514
ATL,2023,0.21574957297995762,0.06762300048625537,0.08372371488774476
ATL,2024,0.1902518797553721,0.07978304634902701,0.06444015282036797
ATL,2025,0.2294613578455716,0.08183586888198707,0.05616187080136368
BAL,2018,0.2868197203945663,0.14042215477650644,0.08066804636097177
BAL,2019,0.23402963004851896,0.06971095363147374,0.10290664583693741
BAL,2020,0.2653583198337861,0.09121692244286397,0.11609426492728143
BAL,2021,0.2201492946849315,0.08236878372565465,0.08985685497344142
BAL,2022,0.18574637867007532,0.05529854021475525,0.05813436278987091
BAL,2023,0.20002204238633178,0.04321463878717045,0.08025575774760227
BAL,2024,0.22343958977730008,0.05651707270837591,0.08937583591092003
BAL,2025,0.17064881546472638,0.04483146846954676,0.08387823133011975
BUF,2018,0.2761040782670042,0.1343706514232754,0.07546844805964782
BUF,2019,0.23736800229401428,0.09035298151836672,0.07044469745499779
BUF,2020,0.20797058628091114,0.06975410968428075,0.08267153740359201
BUF,2021,0.2617323258148609,0.11504717618235642,0.0805330233276495
BUF,2022,0.21539200536313644,0.0676551811717544,0.08560451495201576
BUF,2023,0.22434171166296993,0.060291835009423166,0.08833454896729441
BUF,2024,0.21989737413659896,0.06965693217991643,0.08877844297440331
BUF,2025,0.23680194875661043,0.08386735685129952,0.09373410471615828
