team,season,pressured_pct_allowed,hurry_rate_allowed,hit_rate_allowed
ARI,2018,0.26523788233043954,0.08660828810789864,0.08480394877231741
ARI,2019,0.2041032308764644,0.09967832205594773,0.025315129411034344
ARI,2020,0.17269934325144728,0.08405720246751859,0.04432107039196435
ARI,2021,0.22028256206840732,0.12463355485449362,0.03623068455072489
ARI,2022,0.18888926078527515,0.06784050915527487,0.05985927278406607
ARI,2023,0.20685760401065337,0.04895103606358973,0.0915858094092969
ARI,2024,0.1571382036227877,0.0690717378561704,0.03626266237448947
ARI,2025,0.24632382596440444,0.06999365546529525,0.09691429218271651
ATL,2018,0.21427254953434344,0.07941570017706436,0.07192365299054884
ATL,2019,0.2306980867636594,0.07424766010784441,0.09015787298809678
ATL,2020,0.24842782173079897,0.0803737070305526,0.10813916945928896
ATL,2021,0.2828957755374185,0.08197548041141105,0.13662580068568508
ATL,2022,0.18805442878459266,0.02861697829330758,0.08380686500182935
ATL,2023,0.1978631066861775,0.06036501559917279,0.07042585153236826
ATL,2024,0.19593528306472638,0.04856515563142791,0.0937809901848263
ATL,2025,0.1967697921661512,0.06731598153052541,0.08457648961527552
BAL,2018,0.2464518710753711,0.13258486735067432,0.05303394694026972
BAL,2019,0.16339091279030796,0.05797742066752863,0.049192962990630355
BAL,2020,0.23824688376798214,0.10389713728227792,0.060905218406852576
BAL,2021,0.22053226283693853,0.08606137086319551,0.05782248354870949
BAL,2022,0.1882645999960078,0.07599671926444351,0.043179954127524726
BAL,2023,0.16174215726466834,0.0385806980631319,0.05193555508498525
BAL,2024,0.19657838287896753,0.09495735444153518,0.058307147464100546
BAL,2025,0.21818683632916036,0.05752198412314228,0.07140660098045248
BUF,2018,0.2917145580486884,0.1390732195348398,0.08310472874642866
BUF,2019,0.22490848330330895,0.0765313589018204,0.08121695230397268
BUF,2020,0.21746851424364297,0.09650969567025576,0.07720775653620461
BUF,2021,0.24299941877184864,0.12529657530423444,0.08226542823005292
BUF,2022,0.18723796233181442,0.06506851173233268,0.06772436935406054
BUF,2023,0.18078660365841323,0.07258856055981744,0.07258856055981744
BUF,2024,0.16596954037613482,0.06337018814361511,0.07393188616755096
BUF,2025,0.18005192989291785,0.052120295495318325,0.05843790707050843
CAR,2018,0.20286637322468254,0.09338293370659989,0.057961820921337864
CAR,2019,0.23670662322421654,0.10644794890556483,0.049022081732825906
CAR,2020,0.19842098086370788,0.07420622048561433,0.0677535056607783
CAR,2021,0.28467492315863085,0.12094996735237165,0.08702497650963327
CAR,2022,0.18587908979885168,0.06056734386704156,0.05012469837272405
CAR,2023,0.23449917067703188,0.05862479266925797,0.0806090899202297
CAR,2024,0.2397632552899176,0.10298555931915923,0.0788483188537313
CAR,2025,0.2458252022409027,0.09800874076271285,0.08836853675326568
CHI,2018,0.2034665088868715,0.10491241864479312,0.04291871671832446
CHI,2019,0.2263560807796674,0.09922458335547064,0.05736421225238147
CHI,2020,0.20646425259839035,0.05837954728644141,0.09540072361442864
CHI,2021,0.2427492462166345,0.08549658986246246,0.06870261685376447
CHI,2022,0.2579471572782294,0.07198525319392449,0.06998566282742658
CHI,2023,0.2404609848830215,0.09098523752330544,0.06986366452682381
CHI,2024,0.22652981882535453,0.07354864247576447,0.0544259954320657
CHI,2025,0.2419440786996819,0.1380584855856942,0.06971270064228123
CIN,2018,0.22915551237584772,0.10936967636120004,0.05555285148505399
CIN,2019,0.1973328899731431,0.08099484289942441,0.04565163872513012
CIN,2020,0.24319892032762458,0.05695164589950702,0.11236405812605439
CIN,2021,0.2630442742813942,0.0868175683588838,0.0803386453470268
CIN,2022,0.17134794507961376,0.03352459795035921,0.07325745478041458
CIN,2023,0.21818263990954914,0.05490688951366137,0.09247476128616652
CIN,2024,0.21478215414627388,0.05265627004876392,0.0956127008780187
CIN,2025,0.20027530520809286,0.06139826874992628,0.08771181249989468
CLE,2018,0.26722069835637124,0.16504807839658223,0.04244093444483543
CLE,2019,0.2182914129436362,0.10999179721966165,0.040612355896490454
CLE,2020,0.18283702698269164,0.08500317921125136,0.05453034138080277
CLE,2021,0.23600613227192424,0.1054495484619236,0.05021407069615409
CLE,2022,0.2257481749150837,0.07094942640188344,0.08384932211131679
CLE,2023,0.2166228726585087,0.06151019840920618,0.08959094116123509
CLE,2024,0.25496342254454163,0.06176948896697658,0.10645380013457666
CLE,2025,0.3001558237088169,0.09478604959225798,0.12638139945634397
DAL,2018,0.2791464867822027,0.1175353628556643,0.0763979858561818
DAL,2019,0.18894387970936982,0.064022306347803,0.08900662102011636
DAL,2020,0.21842966328143054,0.07942896846597473,0.07801059402908234
DAL,2021,0.1938366246343717,0.06595829588252926,0.07672699725110546
DAL,2022,0.20233181603564998,0.06843576130617574,0.09075177042775477
DAL,2023,0.18455067243097426,0.04386860246310043,0.07412281105834212
DAL,2024,0.23261456649298962,0.10390117303353537,0.06978436994789688
DAL,2025,0.20885929736965017,0.07753110281146104,0.08227790502440764
DEN,2018,0.25633800246396304,0.12183966783780961,0.08069900077569207
DEN,2019,0.24511492311934968,0.11012409589420058,0.06394302342243904
DEN,2020,0.2768730301224617,0.1074918822828381,0.11726387158127792
DEN,2021,0.282965683471775,0.13149581761335424,0.0848897050415325
DEN,2022,0.27633441140928533,0.06717521603319643,0.112976499692194
DEN,2023,0.2524147243290162,0.07423962480265182,0.09238708864330004
DEN,2024,0.17144185665708894,0.07235160923143204,0.058195859599195335
DEN,2025,0.20095926796318025,0.09783543308733775,0.07007132369768784
