team,season,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pct_stacked_box_forced
ARI,2018,0.20166320166320167,2.8835758835758836,2.6672900404597373,0.41438437723267446,40.89068825910931
ARI,2019,0.2325,2.7135000000000002,2.4539018955863012,0.3629120555190594,38.13229571984436
ARI,2020,0.20959595959595959,2.8886363636363637,2.848785138443178,0.3744186046511628,29.302325581395348
ARI,2021,0.22863741339491916,2.8327944572748267,2.4240536572681974,0.4003995433789954,30.59360730593607
ARI,2022,0.2438423645320197,2.814039408866995,3.176745841731061,0.3920904955992675,33.333333333333336
ARI,2023,0.14495798319327732,3.1743697478991595,3.2846247961026793,0.4011593340752251,18.327974276527332
ARI,2024,0.21739130434782608,2.931159420289855,2.5026157680573964,0.4632121352477999,16.53543307086614
ARI,2025,0.16898148148148148,3.0625,2.726574188500876,0.42159439809987254,24.817518248175183
ATL,2018,0.14705882352941177,3.2211229946524065,3.0084149170208825,0.42064777327935227,28.74493927125506
ATL,2019,0.2152230971128609,2.7826771653543307,2.3790930611447743,0.3879424778761062,42.47787610619469
ATL,2020,0.21470588235294116,2.8391176470588233,2.5620925384186317,0.4047619047619047,21.354166666666668
ATL,2021,0.1320754716981132,3.189517819706499,2.685323219381426,0.3709438430730697,19.41747572815534
ATL,2022,0.12447257383966245,3.1837552742616033,2.914267253101376,0.4881971465629053,23.735408560311285
ATL,2023,0.22717149220489977,2.6841870824053453,2.4456663666477714,0.32468592667039603,16.39344262295082
ATL,2024,0.17293233082706766,3.020300751879699,2.581476450548523,0.39566055696933217,14.0625
ATL,2025,0.15587529976019185,3.022062350119904,2.8144426408230494,0.4424783074973189,25.475285171102662
BAL,2018,0.20055710306406685,2.5518105849582176,2.1789258601350423,0.3948589400795283,27.45098039215686
BAL,2019,0.1833810888252149,2.7412607449856736,2.6282274982947005,0.4560975609756098,22.926829268292682
BAL,2020,0.1717948717948718,2.8523076923076927,2.262129669414955,0.3616045183505501,30.952380952380953
BAL,2021,0.2342857142857143,2.471714285714286,2.233247277092764,0.35416666666666663,30.803571428571427
BAL,2022,0.18961038961038962,2.7735064935064933,2.4958989567950254,0.4548556430446194,24.015748031496063
BAL,2023,0.18518518518518517,2.7896296296296295,3.115709182745681,0.38324852031748585,28.96825396825397
BAL,2024,0.20876288659793815,2.753608247422681,2.2445948444750186,0.35360255213196395,29.761904761904763
BAL,2025,0.18157894736842106,2.791315789473684,2.635227995923756,0.41148325358851673,35.4066985645933
BUF,2018,0.2747524752475248,2.605940594059406,2.247627159870928,0.39790605166711357,34.07079646017699
BUF,2019,0.24281984334203655,2.7039164490861616,2.093133221397015,0.415916955017301,28.627450980392158
BUF,2020,0.19607843137254902,2.921132897603486,2.4785551193661797,0.38018353174603176,13.839285714285714
BUF,2021,0.228310502283105,2.596118721461187,2.3209478704140536,0.37421560740144816,14.15929203539823
BUF,2022,0.2512437810945274,2.5912935323383084,2.6460294716947854,0.3852116359896443,7.468879668049793
BUF,2023,0.2135678391959799,2.76356783919598,2.9076302489352783,0.4152143845089903,7.8838174273858925
BUF,2024,0.2457627118644068,2.71271186440678,2.7852145110240634,0.3646961370615807,8.550185873605948
BUF,2025,0.19205298013245034,2.8973509933774833,2.9902392125006223,0.40009672866815715,21.245421245421245
CAR,2018,0.2254335260115607,2.597976878612717,2.869501891861188,0.3348103509393832,33.17972350230415
CAR,2019,0.17412935323383086,3.099004975124378,3.0926852228776194,0.4180830039525692,42.29249011857708
CAR,2020,0.1771117166212534,3.052043596730245,2.5876215243785183,0.3994466024840851,25.572519083969464
CAR,2021,0.21867881548974943,2.730979498861048,2.4769421369406768,0.4080780115663836,38.372093023255815
CAR,2022,0.19469026548672566,2.818805309734513,2.7147979356408127,0.4433333333333333,36.86274509803921
CAR,2023,0.17647058823529413,2.9095860566448803,2.2227503141669054,0.3960467291416948,20.18633540372671
CAR,2024,0.11275415896487985,3.602402957486137,2.949169635449706,0.41425837036481483,19.700748129675812
CAR,2025,0.13390928725701945,3.017494600431965,2.703685294420995,0.33073929961089493,18.67704280155642
