team,season,ybc_per_att,ngs_attempts,ryoe_per_att,rush_pct_over_expected,avg_time_to_los,efficiency,pct_stacked_box,stuff_rate,aly
ARI,2018,2.2482821292440374,249,-0.1724054130615725,0.37597897468479535,2.619465110079119,4.095347928954187,25.70281124497992,0.17117117117117117,2.6684684684684687
ARI,2019,3.472459739276101,219,0.29640804001174953,0.3438554695255112,2.921068152591954,3.929990929676745,6.8493150684931505,0.17183098591549295,3.1011267605633805
ARI,2020,3.224306493435557,275,-0.40582956004977444,0.30979953379953384,2.7606751157771825,4.436258745259799,16.0,0.2,2.802380952380952
ARI,2021,2.683127164365673,265,-0.3486473965571028,0.34876310272536687,2.759282079748305,4.289226346194735,17.358490566037737,0.19438444924406048,2.790712742980561
ARI,2022,2.9950798028601415,187,0.14540750849605397,0.4089066014199704,2.782688711773901,4.149674542950378,14.973262032085561,0.1928020565552699,2.890745501285347
ARI,2023,3.6893237803104886,249,0.6509343303978876,0.4192153228297807,2.883201268353271,3.8322294365365446,24.899598393574298,0.2408256880733945,2.8073394495412844
ARI,2024,3.16708896273897,260,0.34957980325658594,0.40049003821256146,2.868571562612224,4.556305602400211,25.384615384615383,0.16985645933014354,3.1870813397129187
ARI,2025,2.746695990044959,146,-0.34411698440990524,0.33401413252339923,2.900107947230046,4.856901566045675,21.91780821917808,0.2147239263803681,2.6401840490797546
ATL,2018,3.1680714622283834,153,0.18258839123244322,0.34248366013071896,2.8167662750285296,4.679673084153245,25.49019607843137,0.24770642201834864,2.5027522935779816
ATL,2019,2.345405503556438,204,-1.103969636482606,0.2837635253463427,2.8641275045119565,4.8984995768371755,27.45098039215686,0.2127659574468085,2.5835866261398177
ATL,2020,2.1389281523699903,226,-0.40017534852692793,0.3549900559270679,2.857965484122564,4.778948612632027,19.469026548672566,0.18586387434554974,2.6793193717277486
ATL,2021,2.229616849698864,163,-0.13556130874795494,0.3149284253578732,2.830759569877974,5.119220928031894,41.104294478527606,0.19618528610354224,2.7806539509536785
ATL,2022,3.1292605269575238,338,0.811647405788508,0.4750129762275511,2.8462969328028587,4.013372414887004,38.16568047337278,0.162109375,3.204296875
ATL,2023,2.5303422819299306,334,0.1718281529217759,0.3812464357000285,2.9892446882791193,4.74091948634368,26.646706586826348,0.21205821205821207,2.781288981288981
ATL,2024,2.28760479789384,361,0.6529371699961386,0.4855774171765398,2.88034212008318,4.468013769149901,16.066481994459835,0.16352201257861634,3.248846960167715
ATL,2025,2.5625404242439958,390,0.6945805039639205,0.44681504254259674,3.0216895915503885,4.4710326432399246,17.692307692307693,0.16666666666666666,3.0233333333333334
BAL,2018,2.481317476418304,260,0.37199640747842483,0.42252479546597194,2.686331839496602,3.689294567721604,22.692307692307693,0.16698292220113853,3.0766603415559772
BAL,2019,3.4048984418117794,259,0.07236864513745557,0.3531176031176031,2.7123752617877614,3.5232112052538027,19.69111969111969,0.13978494623655913,3.3793906810035845
BAL,2020,3.6001344071008146,223,0.7116706374998295,0.43441088059922145,2.758270876930742,3.853360562703016,24.663677130044842,0.15245009074410162,3.2611615245009076
BAL,2021,3.138042396708791,185,0.05885523556534864,0.37567567567567567,2.813645941655942,3.842749004138054,35.13513513513514,0.15898617511520738,3.055990783410138
BAL,2022,3.585695512455827,244,0.7403008865835158,0.4336211943793911,2.9739386703346744,5.114759797351062,34.83606557377049,0.186,3.1724
BAL,2023,3.522668321520731,229,-0.03816215196209362,0.39737991266375544,2.754223161748489,4.078515794137752,28.820960698689955,0.1550695825049702,3.0910536779324054
BAL,2024,3.3240523520481124,378,1.7427068742495158,0.46546153792530603,2.7259145052568323,3.289453064513188,34.12698412698413,0.1607773851590106,3.2148409893992933
BAL,2025,3.307343244429258,299,1.1375434530790818,0.41793148648187955,2.802871676176166,3.6804627788674833,39.130434782608695,0.16335540838852097,3.0752759381898453
BUF,2018,2.1944581792372264,245,-0.7204072031510452,0.3555486997474575,2.842738834244726,5.322455537706259,19.183673469387756,0.2103960396039604,2.5668316831683167
BUF,2019,2.249021462995936,269,0.02202545464307155,0.3716339628979034,2.738698681501763,4.089660392542094,20.817843866171003,0.2146118721461187,2.7952054794520547
BUF,2020,2.2550317442704806,179,0.4834909225585832,0.4300854419980283,2.832416795262466,3.9971631840241124,10.05586592178771,0.19444444444444445,2.792676767676768
BUF,2021,2.834665070141855,214,-0.19727603207105818,0.3580680223203588,2.860243245281687,4.100162267554894,15.88785046728972,0.1598173515981735,3.1383561643835614
BUF,2022,3.6153675898313957,194,0.525984838586636,0.3881901035592667,2.728275365847682,3.3781848598365594,24.742268041237114,0.17587939698492464,3.008291457286432
BUF,2023,2.699470101984153,284,0.5089607114105975,0.43567719448001135,2.6070959770138726,3.7661545396112093,14.43661971830986,0.13465346534653466,3.0572277227722773
BUF,2024,2.703239774493542,282,1.0994611253280238,0.4283305520789876,2.6552598593808,3.5897802257451423,25.53191489361702,0.18147448015122875,2.985444234404537
BUF,2025,2.945300086143075,380,1.029964506107501,0.4562895241198972,2.610762318044653,3.5855100447992143,28.157894736842106,0.13333333333333333,3.257142857142857
CAR,2018,3.3007776770872606,219,0.34786729303032005,0.36621736330640436,2.76012060913465,3.8252340333979107,21.91780821917808,0.1693548387096774,3.149193548387097
CAR,2019,3.5269730512491093,278,0.7586236292176518,0.36382322713257964,2.655965737801906,4.150139077804692,24.100719424460433,0.19887955182072828,2.922408963585434
CAR,2020,2.2528119336741708,228,0.033690672071465144,0.3864128804918278,2.745498587596614,4.205512285423169,30.263157894736842,0.17318435754189945,2.893854748603352
CAR,2021,2.4265290231329857,219,-0.26812455029168875,0.4039688721046672,2.7548156816470097,4.314171088328374,28.310502283105023,0.21634615384615385,2.714903846153846
CAR,2022,2.8549066791772244,325,0.6014245817358932,0.45963539025077493,2.6790086656096435,3.785120189264459,28.0,0.175704989154013,3.0008676789587856
CAR,2023,2.4453572676798436,289,0.09732926011363649,0.4095059592464437,2.7669761666630177,4.388925975840732,17.301038062283737,0.19951338199513383,2.6148418491484184
CAR,2024,2.8120003509009033,261,1.0226418169684564,0.5083545468963543,2.610044490722458,3.5362754723405034,22.22222222222222,0.15598885793871867,3.0958217270194988
CAR,2025,2.5630475565145225,297,0.41134200922777464,0.44441675047735657,2.6834302571685593,3.660360682745518,21.21212121212121,0.1511627906976744,3.1376744186046515
CHI,2018,2.561482977773909,266,-0.4349666882283576,0.3371380941040384,2.5406777323344993,3.991579660580633,13.909774436090226,0.21678321678321677,2.6694638694638697
CHI,2019,2.3836308703654265,234,-0.1982166723553344,0.36221332714545385,2.6858625514045196,4.375509622096291,20.512820512820515,0.19452054794520549,2.6715068493150684
CHI,2020,2.2944992336508587,259,0.13124551434782275,0.3530421316135602,2.738054786419072,4.117969549637733,16.216216216216218,0.19736842105263158,2.775
CHI,2021,2.6377767026813133,319,-0.29016103737151566,0.35960930396667073,2.772479479072373,4.171448679061661,21.316614420062695,0.2181372549019608,2.7438725490196076
CHI,2022,3.493960529778774,263,0.2432113927437111,0.40439978272677896,2.7848653031379262,4.2273425652059196,23.954372623574145,0.1638655462184874,3.1136554621848735
CHI,2023,3.185331106210652,201,0.36821872806276656,0.4284060466896288,2.7323988517834135,3.8888210999632253,28.35820895522388,0.1794871794871795,2.9226495726495725
CHI,2024,2.5952619182835894,264,-0.6177353135684349,0.297008547008547,2.8293050223098346,5.084390356546007,24.242424242424242,0.18157181571815717,2.630081300813008
CHI,2025,3.2553224928562408,361,0.4840681404793993,0.46925089376612916,2.7545075634837164,3.9180562436141293,21.329639889196677,0.15625,3.1806640625
CIN,2018,2.7734275592968416,264,0.655602228331986,0.3954788267288267,2.770365532790247,3.84795297630573,19.318181818181817,0.20606060606060606,2.686969696969697
CIN,2019,2.0544797419183274,264,0.058025537089846764,0.37492784992784994,2.871434391199587,6.724143931698584,7.575757575757576,0.22099447513812154,2.619337016574586
CIN,2020,2.3237952440843377,245,-0.13882336586152047,0.36904842889536765,2.6518357291212684,4.489081711329867,9.795918367346939,0.1889763779527559,2.7711286089238842
CIN,2021,2.3138806536816174,381,-0.0023332243019833824,0.36927675707203267,2.902770776411494,4.3723256401042425,18.89763779527559,0.17791411042944785,2.8466257668711656
CIN,2022,2.5887461120328332,267,0.13064378930257428,0.41916354556804,2.656198916570939,4.438986274477061,22.09737827715356,0.16707616707616707,2.9115479115479115
CIN,2023,2.6817079914010202,260,0.11979773940022094,0.4084615384615385,2.623145351176601,3.9586508816812755,15.384615384615385,0.17507418397626112,2.7869436201780418
CIN,2024,2.7606418535815247,274,-0.0010193380917106515,0.35126943827356394,2.682886124232839,4.099768841009033,20.802919708029197,0.1531791907514451,2.90635838150289
CIN,2025,2.5599155732984467,243,0.3176481096050644,0.4444444444444444,2.652886119795842,5.195490023960289,17.28395061728395,0.10893854748603352,3.13463687150838
CLE,2018,2.229643504535811,272,0.22365360923337954,0.37533247053370894,2.952966344891109,4.253539052160944,36.029411764705884,0.2386058981233244,2.579088471849866
CLE,2019,2.2657883071676763,298,0.9555443011066843,0.3921140939597315,2.9572477700374327,3.795028638275093,13.087248322147651,0.1891891891891892,2.939459459459459
CLE,2020,2.522287293137536,409,0.8964030276806224,0.4079253217179292,2.988904028075173,4.287148750046114,31.295843520782395,0.19405940594059407,3.0075247524752475
CLE,2021,2.7365504365673177,340,1.0580796517297661,0.4684950343773873,3.150159355692126,3.7172301902772107,25.88235294117647,0.14672686230248308,3.2451467268623024
CLE,2022,2.935577724759664,370,0.8332734277818341,0.42000000000000004,3.0834040868654022,4.180259807991453,28.64864864864865,0.2024793388429752,2.911776859504132
CLE,2023,2.6249780125461855,313,0.06913910164769059,0.3867668008243088,2.9837359274555757,4.837374775858944,23.961661341853034,0.23856858846918488,2.4789264413518888
CLE,2024,2.637014432275166,184,-0.012711974768186394,0.40281840743797265,2.780975633059415,4.524618976754932,15.217391304347826,0.2222222222222222,2.5877492877492876
CLE,2025,2.0493449431176503,257,0.26638214057134807,0.37640566307881484,2.9997550639570827,4.666737870652987,43.190661478599225,0.2222222222222222,2.4684754521963823
DAL,2018,2.710606222283963,362,0.4154694279170388,0.40428561654379697,2.847045359133699,4.0283192210139624,26.795580110497237,0.1870824053452116,2.8648106904231625
DAL,2019,2.405418249099756,353,0.5785300221098674,0.4670357970641257,2.757863505785999,3.7998770689179935,16.997167138810198,0.12857142857142856,3.244285714285714
DAL,2020,2.180528863206609,277,0.1814810852464421,0.427789238439058,2.6359690645295335,3.84594793900573,23.826714801444044,0.19106699751861042,2.847394540942928
DAL,2021,2.807369586775845,317,0.1727102770403013,0.3843423926231497,2.8346311087667,3.790605181268234,17.665615141955836,0.15164835164835164,3.1874725274725275
DAL,2022,2.570912521773179,417,0.3885235518553469,0.3910571176758227,2.825526729213009,4.0060976188750255,23.26139088729017,0.17604355716878403,2.82032667876588
DAL,2023,2.6353868879313977,283,-0.10904267137419134,0.3722821348263044,2.597928992427236,3.90115238040974,10.954063604240282,0.17006802721088435,2.947619047619048
DAL,2024,2.5705316110834784,227,0.30712638662412706,0.4187143619963003,2.6894296828777953,3.6402207810565486,15.418502202643172,0.15441176470588236,3.0441176470588234
DAL,2025,2.791715067274529,279,0.6282768823132633,0.44037812572051394,2.7755220170200094,3.344003572694452,21.14695340501792,0.1380952380952381,3.155
DEN,2018,3.108123277100375,254,0.728147395545653,0.44531152355955506,2.6954597767978123,4.0258258837544165,27.559055118110237,0.19839142091152814,3.0482573726541555
DEN,2019,2.4394875919780183,281,-0.33859377336862034,0.32761246847493447,2.92939885395348,4.395455725943133,19.9288256227758,0.16666666666666666,2.892592592592593
DEN,2020,2.786923482886166,268,-0.07006726529994117,0.35774994077232886,2.95159469556401,4.361096346159779,20.895522388059703,0.21728395061728395,2.8464197530864195
DEN,2021,2.4118039115646863,321,0.22185688814513085,0.3796917775889738,2.8901949315995634,4.302591839444814,27.414330218068535,0.1756440281030445,2.908899297423887
DEN,2022,2.89353750109556,227,-0.17176275227287985,0.3716612071237622,2.7273970750859515,3.9309010369174664,22.90748898678414,0.17936117936117937,2.9855036855036854
