"qtr","n","mean_ay","deep_shot_rate","screen_rate"
1,40250,7.42166459627329,0.104248447204969,0.272695652173913
2,53684,8.0854817077714,0.119253408836897,0.246032337381715
3,41083,7.97098556580581,0.117420831000657,0.261008202906312
4,52007,8.53904282115869,0.127155959774646,0.219951160420713
5,1248,9.08894230769231,0.141025641025641,0.219551282051282
