"score_bucket","n","mean_ay","deep_shot_rate","screen_rate"
"Trailing 14+",28498,8.14586988560601,0.11600814092217,0.221524317495965
"Trailing 7-13",37624,8.32984265362535,0.122900276419307,0.236258770997236
"Trailing 1-6",32171,8.44459295638929,0.125765440925057,0.237170122159709
"Tied",34586,7.55938819175389,0.107095356502631,0.263632683744868
"Leading 1-7",33384,7.90612269350587,0.116702612029715,0.260633836568416
"Leading 8-13",11260,7.849378330373,0.117761989342806,0.267317939609236
"Leading 14+",10749,7.88008186808075,0.121778770118151,0.275281421527584
