"down","score_bucket","n","mean_ay","deep_shot_rate"
1,"Trailing 14+",11846,7.84821880803647,0.117676852946142
1,"Trailing 7-13",14875,8.26648739495798,0.130823529411765
1,"Trailing 1-6",12448,8.42054948586118,0.130864395886889
1,"Tied",12453,7.47040873685056,0.112824219063679
1,"Leading 1-7",11901,8.13015712965297,0.127216200319301
1,"Leading 8-13",3816,7.74423480083857,0.122117400419287
1,"Leading 14+",3546,8.25690919345742,0.141003948110547
2,"Trailing 14+",9298,7.57582275758228,0.099483759948376
2,"Trailing 7-13",12649,7.55522175666061,0.105383824808285
2,"Trailing 1-6",10941,7.77981902933918,0.113243761996161
2,"Tied",11903,6.67193144585399,0.0913215155843065
2,"Leading 1-7",11632,6.92064993122421,0.0963720770288858
2,"Leading 8-13",3929,7.14914736574192,0.101807075591754
2,"Leading 14+",3644,7.04884742041712,0.0965971459934138
3,"Trailing 14+",5972,8.98660415271266,0.126758204956464
3,"Trailing 7-13",9150,9.22273224043716,0.12775956284153
3,"Trailing 1-6",8103,9.07774898185857,0.127483648031593
3,"Tied",9911,8.7309050549894,0.118252446776309
3,"Leading 1-7",9539,8.78173812768634,0.127162176328756
3,"Leading 8-13",3406,8.76482677627716,0.130945390487375
3,"Leading 14+",3424,8.33615654205608,0.127628504672897
4,"Trailing 14+",1382,10.8994211287988,0.166425470332851
4,"Trailing 7-13",950,11.0357894736842,0.185263157894737
4,"Trailing 1-6",679,12.0412371134021,0.213549337260677
4,"Tied",319,7.74921630094044,0.125391849529781
4,"Leading 1-7",312,9.3301282051282,0.153846153846154
4,"Leading 8-13",109,8.1651376146789,0.128440366972477
4,"Leading 14+",135,8.85185185185185,0.148148148148148
