"distance_bucket","mean_ay","deep_shot_rate","n"
"Long (11+)",8.26060948081264,0.128028592927013,26580
"Medium (4-6)",7.71039689686223,0.100124679642585,28874
"Short (1-3)",6.49443458622358,0.0891541646502124,18597
"Standard (7-10)",8.34097057458786,0.124836938916662,114221
