"down","n","mean_ay","deep_shot_rate","screen_rate"
1,70885,8.03230584749947,0.124906538759963,0.277435282499824
2,63996,7.26321957622351,0.100896931058191,0.265954122132633
3,49505,8.89425310574689,0.125785274214726,0.189314210685789
4,3886,10.5998455995883,0.17318579516212,0.144621718991251
