season,week,team,opponent,points,run_block_off_z,pass_block_off_z,run_def_z,pass_def_z,rush_matchup,pass_matchup,rush_att,rush_yards,rush_explosive_rate,rush_negative_rate,rush_ypa,dropbacks,pass_yards,pass_explosive_rate,pass_negative_rate,pass_ypd
2018,1,ATL,PHI,12,-0.4066203214229128,0.5440622346344438,0.8391649997900512,0.22921196576823186,-1.245785321212964,0.3148502688662119,18,74.0,0.1111111111111111,0.2777777777777778,4.111111111111111,49,233.0,0.14285714285714285,0.12244897959183673,4.755102040816326
2018,1,BUF,BAL,3,-0.7465488042205085,-1.0090288042147446,0.4964896084726813,1.395137777029344,-1.2430384126931897,-2.4041665812440884,22,83.0,0.13636363636363635,0.22727272727272727,3.772727272727273,42,85.0,0.023809523809523808,0.16666666666666666,2.0238095238095237
2018,1,PIT,CLE,21,0.26099399933235895,1.227742649180995,0.47637517803692064,0.12473024576541368,-0.2153811787045617,1.1030124034155815,35,159.0,0.14285714285714285,0.14285714285714285,4.542857142857143,46,328.0,0.17391304347826086,0.10869565217391304,7.130434782608695
2018,1,CIN,IND,34,0.18544972265505902,0.3718120839478955,0.9385557352108507,-1.2199941277242214,-0.7531060125557917,1.591806211672117,20,101.0,0.1,0.2,5.05,32,237.0,0.1875,0.0625,7.40625
2018,1,TEN,MIA,20,-0.10946646418074892,0.3063528015990013,-0.19563112070464886,0.12312302638748374,0.08616465652389994,0.18322977521151756,29,116.0,0.034482758620689655,0.10344827586206896,4.0,39,227.0,0.1794871794871795,0.0,5.82051282051282
2018,1,SF,MIN,16,-0.06713159536058952,-0.8544685585025724,-0.22442040333738666,-0.6557828103874047,0.15728880797679715,-0.1986857481151677,25,90.0,0.16,0.24,3.6,38,243.0,0.13157894736842105,0.07894736842105263,6.394736842105263
2018,1,HOU,NE,20,-0.016577689285252453,-1.0715381597486373,-0.899856035807509,0.3990274100367861,0.8832783465222565,-1.4705655697854234,34,167.0,0.17647058823529413,0.23529411764705882,4.911764705882353,42,203.0,0.047619047619047616,0.09523809523809523,4.833333333333333
2018,1,TB,NO,48,-0.44242878493786314,0.18630085109068073,1.0853793155127653,0.6223994417596485,-1.5278081004506285,-0.4360985906689677,34,112.0,0.08823529411764706,0.2647058823529412,3.2941176470588234,34,452.0,0.35294117647058826,0.0,13.294117647058824
2018,1,JAX,NYG,20,-0.05725148690891843,0.25576613750521354,-0.12306226011987124,0.2584616153676896,0.06581077321095281,-0.0026954778624760367,28,137.0,0.10714285714285714,0.21428571428571427,4.892857142857143,35,171.0,0.08571428571428572,0.05714285714285714,4.885714285714286
2018,1,KC,LAC,38,0.4487441655673585,-2.1756957408610607,0.18570310308670265,-1.0867700173905188,0.26304106248065584,-1.0889257234705418,27,106.0,0.07407407407407407,0.25925925925925924,3.925925925925926,29,259.0,0.27586206896551724,0.034482758620689655,8.931034482758621
2018,1,WAS,ARI,24,-0.4355872224338694,-0.5859028672451984,-0.40393452026939913,0.06645103983748668,-0.03165270216447025,-0.652353907082685,42,182.0,0.16666666666666666,0.21428571428571427,4.333333333333333,36,260.0,0.16666666666666666,0.08333333333333333,7.222222222222222
2018,1,DAL,CAR,8,0.19401103725873525,-0.5191914104752104,0.5649956386546164,-0.5456415366860099,-0.3709846013958812,0.02645012621079945,23,96.0,0.08695652173913043,0.17391304347826086,4.173913043478261,39,158.0,0.07692307692307693,0.1794871794871795,4.051282051282051
2018,1,SEA,DEN,24,0.8114522413268429,-0.9524312125639888,-0.47853881446367186,-0.8856181977909369,1.2899910557905148,-0.0668130147730519,16,64.0,0.125,0.25,4.0,40,247.0,0.175,0.15,6.175
2018,1,CHI,GB,23,0.03376583754735496,0.8694049649799075,-0.402112993258983,-0.4730203547447307,0.43587883080633794,1.3424253197246383,27,139.0,0.14814814814814814,0.14814814814814814,5.148148148148148,43,185.0,0.06976744186046512,0.20930232558139536,4.3023255813953485
2018,1,NYJ,DET,48,-1.6750666039092619,0.1949122177770846,-0.683670368213416,-0.8826281756898139,-0.9913962356958459,1.0775403934668986,36,169.0,0.1388888888888889,0.25,4.694444444444445,23,180.0,0.21739130434782608,0.08695652173913043,7.826086956521739
2018,2,BAL,CIN,23,0.7208670793319942,-0.000511313669322259,-1.3462046491794502,-0.051814898058721554,2.0670717285114444,0.0513035843893993,22,66.0,0.045454545454545456,0.13636363636363635,3.0,59,361.0,0.1864406779661017,0.06779661016949153,6.11864406779661
2018,2,CAR,ATL,24,0.6947142286145896,0.72901054876549,-1.47411803934433,-1.072402882416989,2.1688322679589196,1.8014134311824788,18,121.0,0.2777777777777778,0.0,6.722222222222222,50,346.0,0.14,0.04,6.92
2018,2,LAC,BUF,31,-0.7883971916998751,-0.11826839122287731,0.8838254346665387,1.036712659207512,-1.672222626366414,-1.1549810504303892,26,109.0,0.19230769230769232,0.4230769230769231,4.1923076923076925,30,247.0,0.2,0.06666666666666667,8.233333333333333
2018,2,MIN,GB,29,-0.4517890135604787,-0.42751284126968897,-0.402112993258983,-0.4730203547447307,-0.049676020301495705,0.04550751347504173,18,68.0,0.0,0.05555555555555555,3.7777777777777777,53,419.0,0.16981132075471697,0.05660377358490566,7.90566037735849
