bucket,n_games,pass_matchup_mean,pass_ypd_median,pass_ypd_mean,pass_ypd_var,pass_explosive_rate_median,pass_explosive_rate_mean,pass_explosive_rate_var,pass_negative_rate_median,pass_negative_rate_mean,pass_negative_rate_var,points_median,points_mean,points_var
Q1 (worst),708,-1.604722800629314,5.901612903225807,6.020314336455466,3.5942504475419885,0.13333333333333333,0.13841151554286774,0.0038164368147552657,0.09375,0.10094977117080452,0.003274918734517907,21.0,20.978813559322035,92.19332702035338
Q2,705,-0.6267975625507429,6.051282051282051,6.178181246092191,3.3927412940376795,0.13333333333333333,0.13750434372662487,0.003938302286737903,0.09090909090909091,0.09611403388392813,0.0029180831727940223,20.0,21.740425531914894,94.83735493230174
Q3 (neutral),706,-0.015856524070137136,6.133357041251778,6.259184597024903,3.396373673831706,0.13574938574938575,0.14059249746038158,0.003896566983299141,0.08823529411764706,0.09488123746651562,0.0027960050044478824,22.0,22.56373937677054,99.49167620999343
Q4,706,0.5820555487748248,6.394338118022328,6.475676593901297,2.7089518739418006,0.13953488372093023,0.14524667751736364,0.003438398691269111,0.08,0.08565022527817517,0.002635294228875367,23.0,23.36685552407932,93.05529704860065
Q5 (best),706,1.5585062307724664,6.663522012578616,6.7793242917603305,3.4217222054587846,0.14285714285714285,0.15244179941936178,0.00472779418181953,0.07142857142857142,0.07579777691223011,0.00224789162558071,25.0,25.63456090651558,108.56981094167533
