bucket,n_games,rush_matchup_mean,rush_ypa_median,rush_ypa_mean,rush_ypa_var,rush_explosive_rate_median,rush_explosive_rate_mean,rush_explosive_rate_var,rush_negative_rate_median,rush_negative_rate_mean,rush_negative_rate_var,points_median,points_mean,points_var
Q1 (worst),707,-1.4693016312045124,3.6666666666666665,3.8082825106373983,1.4851334639732456,0.1,0.10004418732462855,0.003816483092086232,0.23529411764705882,0.24100278167153855,0.008730718256905362,21.0,20.80763790664781,83.9147857723853
Q2,706,-0.5744596336552674,3.911764705882353,4.060957510329767,1.5098616159535083,0.1,0.10804185034549153,0.0045089840198160765,0.20833333333333334,0.21489908731695062,0.008148970486001472,21.0,21.505665722379604,95.28294657746163
Q3 (neutral),706,0.0071772110744978855,4.098387096774193,4.232322976504255,1.4788215912124054,0.10714285714285714,0.11080007910335463,0.003981964879961895,0.19230769230769232,0.19946837927192695,0.00682844143936025,22.0,22.584985835694052,97.96227070901911
Q4,706,0.5545897129285798,4.39262187088274,4.505125454072179,1.3450633854799279,0.11428571428571428,0.11845081928066452,0.003830077168517321,0.17647058823529413,0.1846261298050079,0.006405278098886336,24.0,23.769121813031163,97.57640688726815
Q5 (best),706,1.4725872223524255,4.711915535444947,4.849591980054528,1.753015283471275,0.12121212121212122,0.127404508088703,0.005142688703647731,0.15384615384615385,0.15923127137328433,0.0052563462699296345,25.0,25.61614730878187,111.709185703092
