CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Troy Franklin (44105035),Troy Franklin,44105035,CPT,4200,DEN@KC 09/14/2026 08:15PM ET,DEN,9.89
,,,,,,,WR,Cyrus Allen (44104975),Cyrus Allen,44104975,FLEX,4000,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,RB,Emmett Johnson (44105036),Emmett Johnson,44105036,CPT,3900,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Tyquan Thornton (44104976),Tyquan Thornton,44104976,FLEX,3600,DEN@KC 09/14/2026 08:15PM ET,KC,5.77
,,,,,,,RB,Jonah Coleman (44105038),Jonah Coleman,44105038,CPT,3600,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Evan Engram (44104977),Evan Engram,44104977,FLEX,3400,DEN@KC 09/14/2026 08:15PM ET,DEN,6.02
,,,,,,,WR,Pat Bryant (44104978),Pat Bryant,44104978,FLEX,3200,DEN@KC 09/14/2026 08:15PM ET,DEN,4.84
,,,,,,,WR,Marvin Mims Jr. (44104979),Marvin Mims Jr.,44104979,FLEX,3000,DEN@KC 09/14/2026 08:15PM ET,DEN,7.5
,,,,,,,TE,Noah Gray (44105037),Noah Gray,44105037,CPT,3000,DEN@KC 09/14/2026 08:15PM ET,KC,2.42
,,,,,,,WR,Troy Franklin (44104980),Troy Franklin,44104980,FLEX,2800,DEN@KC 09/14/2026 08:15PM ET,DEN,9.89
,,,,,,,RB,Emmett Johnson (44104981),Emmett Johnson,44104981,FLEX,2600,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,RB,Jonah Coleman (44104983),Jonah Coleman,44104983,FLEX,2400,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Adam Trautman (44105039),Adam Trautman,44105039,CPT,2400,DEN@KC 09/14/2026 08:15PM ET,DEN,2.40
,,,,,,,RB,Brashard Smith (44105040),Brashard Smith,44105040,CPT,2100,DEN@KC 09/14/2026 08:15PM ET,KC,3.72
,,,,,,,TE,Noah Gray (44104982),Noah Gray,44104982,FLEX,2000,DEN@KC 09/14/2026 08:15PM ET,KC,2.42
,,,,,,,WR,Jalen Royals (44105041),Jalen Royals,44105041,CPT,1800,DEN@KC 09/14/2026 08:15PM ET,KC,0.34
,,,,,,,TE,Adam Trautman (44104984),Adam Trautman,44104984,FLEX,1600,DEN@KC 09/14/2026 08:15PM ET,DEN,2.40
,,,,,,,WR,Lil'Jordan Humphrey (44105042),Lil'Jordan Humphrey,44105042,CPT,1500,DEN@KC 09/14/2026 08:15PM ET,DEN,3.95
,,,,,,,RB,Brashard Smith (44104985),Brashard Smith,44104985,FLEX,1400,DEN@KC 09/14/2026 08:15PM ET,KC,3.72
,,,,,,,WR,Jalen Royals (44104986),Jalen Royals,44104986,FLEX,1200,DEN@KC 09/14/2026 08:15PM ET,KC,0.34
,,,,,,,WR,Nikko Remigio (44105043),Nikko Remigio,44105043,CPT,1200,DEN@KC 09/14/2026 08:15PM ET,KC,0.3
,,,,,,,WR,Lil'Jordan Humphrey (44104987),Lil'Jordan Humphrey,44104987,FLEX,1000,DEN@KC 09/14/2026 08:15PM ET,DEN,3.95
,,,,,,,TE,Nate Adkins (44105044),Nate Adkins,44105044,CPT,900,DEN@KC 09/14/2026 08:15PM ET,DEN,1.63
,,,,,,,WR,Nikko Remigio (44104988),Nikko Remigio,44104988,FLEX,800,DEN@KC 09/14/2026 08:15PM ET,KC,0.3
,,,,,,,TE,Nate Adkins (44104989),Nate Adkins,44104989,FLEX,600,DEN@KC 09/14/2026 08:15PM ET,DEN,1.63
,,,,,,,RB,Tyler Badie (44105045),Tyler Badie,44105045,CPT,600,DEN@KC 09/14/2026 08:15PM ET,DEN,2.08
,,,,,,,RB,Tyler Badie (44104990),Tyler Badie,44104990,FLEX,400,DEN@KC 09/14/2026 08:15PM ET,DEN,2.08
,,,,,,,RB,Cody Schrader (44105046),Cody Schrader,44105046,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
