QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Bucky Irving (44132682),Bucky Irving,44132682,RB/FLEX,6100,CLE@TB 09/20/2026 01:00PM ET,TB,14.25
,,,,,,,,,,QB,Drake Maye (44132574),Drake Maye,44132574,QB,6100,PIT@NE 09/20/2026 01:00PM ET,NE,20.90
,,,,,,,,,,WR,Tetairoa McMillan (44132992),Tetairoa McMillan,44132992,WR/FLEX,6100,CAR@ATL 09/20/2026 01:00PM ET,CAR,12.86
,,,,,,,,,,WR,Garrett Wilson (44132996),Garrett Wilson,44132996,WR/FLEX,6000,GB@NYJ 09/20/2026 01:00PM ET,NYJ,14.21
,,,,,,,,,,WR,Drake London (44132994),Drake London,44132994,WR/FLEX,6000,CAR@ATL 09/20/2026 01:00PM ET,ATL,18.16
,,,,,,,,,,RB,Travis Etienne Jr. (44132684),Travis Etienne Jr.,44132684,RB/FLEX,6000,NO@BAL 09/20/2026 01:00PM ET,NO,15.69
,,,,,,,,,,QB,Justin Herbert (44132575),Justin Herbert,44132575,QB,6000,LV@LAC 09/20/2026 04:05PM ET,LAC,19.11
,,,,,,,,,,QB,Jordan Love (44132576),Jordan Love,44132576,QB,5900,GB@NYJ 09/20/2026 01:00PM ET,GB,17.64
,,,,,,,,,,WR,Parker Washington (44132998),Parker Washington,44132998,WR/FLEX,5900,JAX@DEN 09/20/2026 04:05PM ET,JAX,12.8
,,,,,,,,,,RB,Jeremiyah Love (44132686),Jeremiyah Love,44132686,RB/FLEX,5900,SEA@ARI 09/20/2026 04:25PM ET,ARI,0
,,,,,,,,,,RB,Chuba Hubbard (44132688),Chuba Hubbard,44132688,RB/FLEX,5800,CAR@ATL 09/20/2026 01:00PM ET,CAR,9.14
,,,,,,,,,,QB,Trevor Lawrence (44132577),Trevor Lawrence,44132577,QB,5800,JAX@DEN 09/20/2026 04:05PM ET,JAX,20.98
,,,,,,,,,,WR,Courtland Sutton (44133000),Courtland Sutton,44133000,WR/FLEX,5800,JAX@DEN 09/20/2026 04:05PM ET,DEN,12.93
,,,,,,,,,,RB,Rhamondre Stevenson (44132690),Rhamondre Stevenson,44132690,RB/FLEX,5700,PIT@NE 09/20/2026 01:00PM ET,NE,13.17
,,,,,,,,,,QB,Bo Nix (44132578),Bo Nix,44132578,QB,5700,JAX@DEN 09/20/2026 04:05PM ET,DEN,19.72
,,,,,,,,,,WR,Luther Burden III (44133002),Luther Burden III,44133002,WR/FLEX,5700,MIN@CHI 09/20/2026 01:00PM ET,CHI,8.59
,,,,,,,,,,QB,Baker Mayfield (44132579),Baker Mayfield,44132579,QB,5600,CLE@TB 09/20/2026 01:00PM ET,TB,17.17
,,,,,,,,,,WR,Chris Godwin Jr. (44133004),Chris Godwin Jr.,44133004,WR/FLEX,5600,CLE@TB 09/20/2026 01:00PM ET,TB,9.56
,,,,,,,,,,RB,Bhayshul Tuten (44132692),Bhayshul Tuten,44132692,RB/FLEX,5600,JAX@DEN 09/20/2026 04:05PM ET,JAX,5.92
,,,,,,,,,,QB,C.J. Stroud (44132580),C.J. Stroud,44132580,QB,5500,CIN@HOU 09/20/2026 01:00PM ET,HOU,15.01
,,,,,,,,,,RB,Jacory Croskey-Merritt (44132696),Jacory Croskey-Merritt,44132696,RB/FLEX,5500,WAS@DAL 09/20/2026 04:25PM ET,WAS,8.72
,,,,,,,,,,RB,Jadarian Price (44132694),Jadarian Price,44132694,RB/FLEX,5500,SEA@ARI 09/20/2026 04:25PM ET,SEA,0
,,,,,,,,,,WR,Rome Odunze (44133006),Rome Odunze,44133006,WR/FLEX,5500,MIN@CHI 09/20/2026 01:00PM ET,CHI,11.78
,,,,,,,,,,RB,Quinshon Judkins (44132698),Quinshon Judkins,44132698,RB/FLEX,5400,CLE@TB 09/20/2026 01:00PM ET,CLE,12.34
,,,,,,,,,,RB,Jaylen Warren (44132700),Jaylen Warren,44132700,RB/FLEX,5400,PIT@NE 09/20/2026 01:00PM ET,PIT,13.46
,,,,,,,,,,QB,Bryce Young (44132582),Bryce Young,44132582,QB,5400,CAR@ATL 09/20/2026 01:00PM ET,CAR,15.35
,,,,,,,,,,QB,Sam Darnold (44132581),Sam Darnold,44132581,QB,5400,SEA@ARI 09/20/2026 04:25PM ET,SEA,15.64
,,,,,,,,,,WR,Michael Wilson (44133008),Michael Wilson,44133008,WR/FLEX,5400,SEA@ARI 09/20/2026 04:25PM ET,ARI,13.51
,,,,,,,,,,WR,Stefon Diggs (44133012),Stefon Diggs,44133012,WR/FLEX,5300,WAS@DAL 09/20/2026 04:25PM ET,WAS,12.20
,,,,,,,,,,RB,MarShawn Lloyd (44132704),MarShawn Lloyd,44132704,RB/FLEX,5300,GB@NYJ 09/20/2026 01:00PM ET,GB,0
,,,,,,,,,,RB,Tony Pollard (44132706),Tony Pollard,44132706,RB/FLEX,5300,PHI@TEN 09/20/2026 01:00PM ET,TEN,11.64
,,,,,,,,,,QB,Tyler Shough (44132583),Tyler Shough,44132583,QB,5300,NO@BAL 09/20/2026 01:00PM ET,NO,15.63
,,,,,,,,,,WR,Deebo Samuel Sr. (44133010),Deebo Samuel Sr.,44133010,WR/FLEX,5300,MIA@SF 09/20/2026 04:25PM ET,SF,11.76
,,,,,,,,,,RB,Kyle Monangai (44132702),Kyle Monangai,44132702,RB/FLEX,5300,MIN@CHI 09/20/2026 01:00PM ET,CHI,8.94
,,,,,,,,,,WR,Terry McLaurin (44133014),Terry McLaurin,44133014,WR/FLEX,5200,WAS@DAL 09/20/2026 04:25PM ET,WAS,11.42
,,,,,,,,,,RB,TreVeyon Henderson (44132712),TreVeyon Henderson,44132712,RB/FLEX,5200,PIT@NE 09/20/2026 01:00PM ET,NE,10.91
,,,,,,,,,,WR,DK Metcalf (44133016),DK Metcalf,44133016,WR/FLEX,5200,PIT@NE 09/20/2026 01:00PM ET,PIT,12.46
,,,,,,,,,,RB,RJ Harvey (44132710),RJ Harvey,44132710,RB/FLEX,5200,JAX@DEN 09/20/2026 04:05PM ET,DEN,12.06
,,,,,,,,,,QB,Malik Willis (44132584),Malik Willis,44132584,QB,5200,MIA@SF 09/20/2026 04:25PM ET,MIA,13.04
,,,,,,,,,,RB,Jordan Mason (44132708),Jordan Mason,44132708,RB/FLEX,5200,MIN@CHI 09/20/2026 01:00PM ET,MIN,8.31
,,,,,,,,,,RB,Kenny Gainwell (44132718),Kenny Gainwell,44132718,RB/FLEX,5100,CLE@TB 09/20/2026 01:00PM ET,TB,12.83
,,,,,,,,,,QB,Aaron Rodgers (44132585),Aaron Rodgers,44132585,QB,5100,PIT@NE 09/20/2026 01:00PM ET,PIT,14.05
,,,,,,,,,,WR,Jalen Coker (44133022),Jalen Coker,44133022,WR/FLEX,5100,CAR@ATL 09/20/2026 01:00PM ET,CAR,10.23
,,,,,,,,,,WR,Carnell Tate (44133020),Carnell Tate,44133020,WR/FLEX,5100,PHI@TEN 09/20/2026 01:00PM ET,TEN,0
,,,,,,,,,,RB,Chris Rodriguez Jr. (44132716),Chris Rodriguez Jr.,44132716,RB/FLEX,5100,JAX@DEN 09/20/2026 04:05PM ET,JAX,7.08
,,,,,,,,,,QB,Kyler Murray (44132586),Kyler Murray,44132586,QB,5100,MIN@CHI 09/20/2026 01:00PM ET,MIN,16.36
,,,,,,,,,,RB,Aaron Jones Sr. (44132714),Aaron Jones Sr.,44132714,RB/FLEX,5100,MIN@CHI 09/20/2026 01:00PM ET,MIN,9.98
,,,,,,,,,,WR,Jordan Addison (44133018),Jordan Addison,44133018,WR/FLEX,5100,MIN@CHI 09/20/2026 01:00PM ET,MIN,10.08
,,,,,,,,,,RB,Rachaad White (44132722),Rachaad White,44132722,RB/FLEX,5000,WAS@DAL 09/20/2026 04:25PM ET,WAS,8.41
,,,,,,,,,,WR,Romeo Doubs (44133026),Romeo Doubs,44133026,WR/FLEX,5000,PIT@NE 09/20/2026 01:00PM ET,NE,11.46
,,,,,,,,,,RB,J.K. Dobbins (44132720),J.K. Dobbins,44132720,RB/FLEX,5000,JAX@DEN 09/20/2026 04:05PM ET,DEN,12.19
,,,,,,,,,,QB,Kirk Cousins (44132588),Kirk Cousins,44132588,QB,5000,LV@LAC 09/20/2026 04:05PM ET,LV,11.25
,,,,,,,,,,WR,Quentin Johnston (44133024),Quentin Johnston,44133024,WR/FLEX,5000,LV@LAC 09/20/2026 04:05PM ET,LAC,12.01
,,,,,,,,,,QB,Jacoby Brissett (44132587),Jacoby Brissett,44132587,QB,5000,SEA@ARI 09/20/2026 04:25PM ET,ARI,17.96
,,,,,,,,,,TE,Colston Loveland (44133446),Colston Loveland,44133446,TE/FLEX,5000,MIN@CHI 09/20/2026 01:00PM ET,CHI,11.36
,,,,,,,,,,RB,Rico Dowdle (44132726),Rico Dowdle,44132726,RB/FLEX,4900,PIT@NE 09/20/2026 01:00PM ET,PIT,12.71
,,,,,,,,,,TE,Tucker Kraft (44133448),Tucker Kraft,44133448,TE/FLEX,4900,GB@NYJ 09/20/2026 01:00PM ET,GB,15.4
,,,,,,,,,,QB,Cam Ward (44132589),Cam Ward,44132589,QB,4900,PHI@TEN 09/20/2026 01:00PM ET,TEN,11.80
,,,,,,,,,,WR,Jakobi Meyers (44133030),Jakobi Meyers,44133030,WR/FLEX,4900,JAX@DEN 09/20/2026 04:05PM ET,JAX,10.53
,,,,,,,,,,QB,Drew Lock (44132590),Drew Lock,44132590,QB,4900,SEA@ARI 09/20/2026 04:25PM ET,SEA,0.02
,,,,,,,,,,RB,Tyler Allgeier (44132724),Tyler Allgeier,44132724,RB/FLEX,4900,SEA@ARI 09/20/2026 04:25PM ET,ARI,7.24
,,,,,,,,,,WR,Marvin Harrison Jr. (44133028),Marvin Harrison Jr.,44133028,WR/FLEX,4900,SEA@ARI 09/20/2026 04:25PM ET,ARI,10.65
,,,,,,,,,,QB,Geno Smith (44132591),Geno Smith,44132591,QB,4800,GB@NYJ 09/20/2026 01:00PM ET,NYJ,12.99
,,,,,,,,,,RB,Chris Brooks (44132728),Chris Brooks,44132728,RB/FLEX,4800,GB@NYJ 09/20/2026 01:00PM ET,GB,2.02
,,,,,,,,,,RB,Jonathon Brooks (44132730),Jonathon Brooks,44132730,RB/FLEX,4800,CAR@ATL 09/20/2026 01:00PM ET,CAR,0
,,,,,,,,,,RB,Tyjae Spears (44132732),Tyjae Spears,44132732,RB/FLEX,4800,PHI@TEN 09/20/2026 01:00PM ET,TEN,8.59
,,,,,,,,,,TE,Dallas Goedert (44133450),Dallas Goedert,44133450,TE/FLEX,4800,PHI@TEN 09/20/2026 01:00PM ET,PHI,12.97
,,,,,,,,,,WR,Brian Thomas Jr. (44133032),Brian Thomas Jr.,44133032,WR/FLEX,4800,JAX@DEN 09/20/2026 04:05PM ET,JAX,9.93
,,,,,,,,,,WR,De'Zhaun Stribling (44133034),De'Zhaun Stribling,44133034,WR/FLEX,4800,MIA@SF 09/20/2026 04:25PM ET,SF,0
,,,,,,,,,,WR,Michael Pittman Jr. (44133038),Michael Pittman Jr.,44133038,WR/FLEX,4700,PIT@NE 09/20/2026 01:00PM ET,PIT,12.08
,,,,,,,,,,WR,Matthew Golden (44133036),Matthew Golden,44133036,WR/FLEX,4700,GB@NYJ 09/20/2026 01:00PM ET,GB,5.89
,,,,,,,,,,QB,Michael Penix Jr. (44132592),Michael Penix Jr.,44132592,QB,4700,CAR@ATL 09/20/2026 01:00PM ET,ATL,14.25
,,,,,,,,,,QB,Tua Tagovailoa (44132593),Tua Tagovailoa,44132593,QB,4700,CAR@ATL 09/20/2026 01:00PM ET,ATL,12.84
,,,,,,,,,,RB,Brian Robinson Jr. (44132736),Brian Robinson Jr.,44132736,RB/FLEX,4700,CAR@ATL 09/20/2026 01:00PM ET,ATL,3.38
,,,,,,,,,,RB,Tank Bigsby (44132734),Tank Bigsby,44132734,RB/FLEX,4700,PHI@TEN 09/20/2026 01:00PM ET,PHI,3.26
,,,,,,,,,,WR,Wan'Dale Robinson (44133040),Wan'Dale Robinson,44133040,WR/FLEX,4600,PHI@TEN 09/20/2026 01:00PM ET,TEN,14.18
,,,,,,,,,,WR,Makai Lemon (44133042),Makai Lemon,44133042,WR/FLEX,4600,PHI@TEN 09/20/2026 01:00PM ET,PHI,0
,,,,,,,,,,RB,Alvin Kamara (44132740),Alvin Kamara,44132740,RB/FLEX,4600,NO@BAL 09/20/2026 01:00PM ET,NO,9.34
,,,,,,,,,,RB,Keaton Mitchell (44132738),Keaton Mitchell,44132738,RB/FLEX,4600,LV@LAC 09/20/2026 04:05PM ET,LAC,4.26
,,,,,,,,,,TE,George Kittle (44133452),George Kittle,44133452,TE/FLEX,4600,MIA@SF 09/20/2026 04:25PM ET,SF,13.84
,,,,,,,,,,QB,Carson Wentz (44132594),Carson Wentz,44132594,QB,4600,MIN@CHI 09/20/2026 01:00PM ET,MIN,16.27
,,,,,,,,,,RB,Woody Marks (44132744),Woody Marks,44132744,RB/FLEX,4500,CIN@HOU 09/20/2026 01:00PM ET,HOU,9.77
,,,,,,,,,,RB,Kaytron Allen (44132748),Kaytron Allen,44132748,RB/FLEX,4500,WAS@DAL 09/20/2026 04:25PM ET,WAS,0
