team,season,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pct_stacked_box_forced
ARI,2018,0.2016632016632016,2.883575883575884,2.6672900404597373,0.4143843772326744,40.89068825910931
ARI,2019,0.2325,2.7135,2.453901895586301,0.3629120555190594,38.13229571984436
ARI,2020,0.2095959595959595,2.888636363636364,2.848785138443178,0.3744186046511628,29.302325581395348
ARI,2021,0.2286374133949191,2.8327944572748267,2.424053657268197,0.4003995433789954,30.59360730593607
ARI,2022,0.2438423645320197,2.814039408866995,3.176745841731061,0.3920904955992675,33.333333333333336
ARI,2023,0.1449579831932773,3.1743697478991595,3.2846247961026798,0.4011593340752251,18.32797427652733
ARI,2024,0.217391304347826,2.931159420289855,2.5026157680573964,0.4632121352477999,16.53543307086614
ATL,2018,0.1470588235294117,3.2211229946524065,3.0084149170208825,0.4206477732793522,28.74493927125506
ATL,2019,0.2152230971128609,2.7826771653543307,2.3790930611447743,0.3879424778761062,42.47787610619469
ATL,2020,0.2147058823529411,2.8391176470588237,2.562092538418632,0.4047619047619047,21.354166666666668
ATL,2021,0.1320754716981132,3.189517819706499,2.685323219381426,0.3709438430730697,19.41747572815534
ATL,2022,0.1244725738396624,3.1837552742616038,2.914267253101376,0.4881971465629053,23.735408560311285
ATL,2023,0.2271714922048997,2.6841870824053453,2.445666366647772,0.324685926670396,16.39344262295082
ATL,2024,0.1729323308270676,3.020300751879699,2.581476450548523,0.3956605569693321,14.0625
BAL,2018,0.2005571030640668,2.5518105849582176,2.1789258601350423,0.3948589400795283,27.45098039215686
BAL,2019,0.1833810888252149,2.7412607449856736,2.6282274982947005,0.4560975609756098,22.92682926829268
BAL,2020,0.1717948717948718,2.8523076923076927,2.262129669414955,0.3616045183505501,30.952380952380956
BAL,2021,0.2342857142857143,2.471714285714286,2.233247277092764,0.3541666666666666,30.803571428571427
BAL,2022,0.1896103896103896,2.7735064935064933,2.4958989567950254,0.4548556430446194,24.015748031496063
BAL,2023,0.1851851851851851,2.789629629629629,3.115709182745681,0.3832485203174858,28.96825396825397
BAL,2024,0.2087628865979381,2.753608247422681,2.2445948444750186,0.3536025521319639,29.761904761904763
BUF,2018,0.2747524752475248,2.605940594059406,2.247627159870928,0.3979060516671135,34.07079646017699
BUF,2019,0.2428198433420365,2.7039164490861616,2.093133221397015,0.415916955017301,28.62745098039216
BUF,2020,0.196078431372549,2.921132897603486,2.47855511936618,0.3801835317460317,13.839285714285714
