name,team,pos,salary,dk_id,snapshot_ts
omarion hampton,LAC,RB,6800,44220317,2026-09-22T17:18:22.183877+00:00
ladd mcconkey,LAC,WR,5900,44220645,2026-09-22T17:18:22.183877+00:00
justin herbert,LAC,QB,5800,44220227,2026-09-22T17:18:22.183877+00:00
quentin johnston,LAC,WR,4900,44220675,2026-09-22T17:18:22.183877+00:00
keaton mitchell,LAC,RB,4300,44220395,2026-09-22T17:18:22.183877+00:00
trey lance,LAC,QB,4000,44220290,2026-09-22T17:18:22.183877+00:00
dj uiagalelei,LAC,QB,4000,44220291,2026-09-22T17:18:22.183877+00:00
kimani vidal,LAC,RB,4000,44220423,2026-09-22T17:18:22.183877+00:00
scott matlock,LAC,RB,4000,44220575,2026-09-22T17:18:22.183877+00:00
amar johnson,LAC,RB,4000,44220577,2026-09-22T17:18:22.183877+00:00
alec ingold,LAC,RB,4000,44220579,2026-09-22T17:18:22.183877+00:00
gregory desrosiers,LAC,RB,4000,44220581,2026-09-22T17:18:22.183877+00:00
tre' harris,LAC,WR,3900,44220731,2026-09-22T17:18:22.183877+00:00
oronde gadsden,LAC,TE,3500,44221137,2026-09-22T17:18:22.183877+00:00
brenen thompson,LAC,WR,3000,44220815,2026-09-22T17:18:22.183877+00:00
keandre lambert-smith,LAC,WR,3000,44220817,2026-09-22T17:18:22.183877+00:00
derius davis,LAC,WR,3000,44221047,2026-09-22T17:18:22.183877+00:00
gary jennings,LAC,WR,3000,44221049,2026-09-22T17:18:22.183877+00:00
theo wease,LAC,WR,3000,44221051,2026-09-22T17:18:22.183877+00:00
marquez valdes-scantling,LAC,WR,3000,44221053,2026-09-22T17:18:22.183877+00:00
david njoku,LAC,TE,2700,44221169,2026-09-22T17:18:22.183877+00:00
charlie kolar,LAC,TE,2500,44221193,2026-09-22T17:18:22.183877+00:00
evan svoboda,LAC,TE,2500,44221351,2026-09-22T17:18:22.183877+00:00
patrick herbert,LAC,TE,2500,44221353,2026-09-22T17:18:22.183877+00:00
Chargers,LAC,DST,2200,44221421,2026-09-22T17:18:22.183877+00:00
josh allen,BUF,QB,8000,44220217,2026-09-22T17:18:22.183877+00:00
james cook,BUF,RB,6900,44220315,2026-09-22T17:18:22.183877+00:00
dj moore,BUF,WR,5800,44220647,2026-09-22T17:18:22.183877+00:00
dalton kincaid,BUF,TE,5500,44221109,2026-09-22T17:18:22.183877+00:00
khalil shakir,BUF,WR,4800,44220679,2026-09-22T17:18:22.183877+00:00
ray davis,BUF,RB,4400,44220387,2026-09-22T17:18:22.183877+00:00
keon coleman,BUF,WR,4300,44220709,2026-09-22T17:18:22.183877+00:00
kyle allen,BUF,QB,4000,44220292,2026-09-22T17:18:22.183877+00:00
shane buechele,BUF,QB,4000,44220293,2026-09-22T17:18:22.183877+00:00
ty johnson,BUF,RB,4000,44220417,2026-09-22T17:18:22.183877+00:00
frank gore,BUF,RB,4000,44220583,2026-09-22T17:18:22.183877+00:00
brock lampe,BUF,RB,4000,44220585,2026-09-22T17:18:22.183877+00:00
joshua palmer,BUF,WR,3500,44220757,2026-09-22T17:18:22.183877+00:00
skyler bell,BUF,WR,3000,44221055,2026-09-22T17:18:22.183877+00:00
tyrell shavers,BUF,WR,3000,44221057,2026-09-22T17:18:22.183877+00:00
stephen gosnell,BUF,WR,3000,44221059,2026-09-22T17:18:22.183877+00:00
greg dortch,BUF,WR,3000,44221061,2026-09-22T17:18:22.183877+00:00
ja'mori maclin,BUF,WR,3000,44221063,2026-09-22T17:18:22.183877+00:00
trent sherfield,BUF,WR,3000,44221065,2026-09-22T17:18:22.183877+00:00
dawson knox,BUF,TE,2800,44221165,2026-09-22T17:18:22.183877+00:00
jackson hawes,BUF,TE,2500,44221355,2026-09-22T17:18:22.183877+00:00
keleki latu,BUF,TE,2500,44221357,2026-09-22T17:18:22.183877+00:00
Bills,BUF,DST,2800,44221409,2026-09-22T17:18:22.183877+00:00
chuba hubbard,CAR,RB,6100,44220331,2026-09-22T17:18:22.183877+00:00
tetairoa mcmillan,CAR,WR,6000,44220643,2026-09-22T17:18:22.183877+00:00
bryce young,CAR,QB,5600,44220229,2026-09-22T17:18:22.183877+00:00
jalen coker,CAR,WR,5500,44220655,2026-09-22T17:18:22.183877+00:00
jonathon brooks,CAR,RB,4600,44220377,2026-09-22T17:18:22.183877+00:00
kenny pickett,CAR,QB,4000,44220269,2026-09-22T17:18:22.183877+00:00
haynes king,CAR,QB,4000,44220270,2026-09-22T17:18:22.183877+00:00
aj dillon,CAR,RB,4000,44220503,2026-09-22T17:18:22.183877+00:00
trevor etienne,CAR,RB,4000,44220505,2026-09-22T17:18:22.183877+00:00
anthony tyus,CAR,RB,4000,44220507,2026-09-22T17:18:22.183877+00:00
ahmani marshall,CAR,RB,4000,44220509,2026-09-22T17:18:22.183877+00:00
xavier legette,CAR,WR,3500,44220755,2026-09-22T17:18:22.183877+00:00
darren waller,CAR,TE,3400,44221143,2026-09-22T17:18:22.183877+00:00
brycen tremayne,CAR,WR,3000,44220939,2026-09-22T17:18:22.183877+00:00
john metchie,CAR,WR,3000,44220941,2026-09-22T17:18:22.183877+00:00
chris brazzell,CAR,WR,3000,44220943,2026-09-22T17:18:22.183877+00:00
ej williams,CAR,WR,3000,44220945,2026-09-22T17:18:22.183877+00:00
ja'seem reed,CAR,WR,3000,44220947,2026-09-22T17:18:22.183877+00:00
casey washington,CAR,WR,3000,44220949,2026-09-22T17:18:22.183877+00:00
