team,player_name,jersey,pos,nfl_status,height,weight,experience,college
ATL,Charlie Woerner,89,TE,ACT,77,250,7,Georgia
ATL,Chris Blair,19,WR,ACT,74,215,2,Alcorn State
ATL,Chris Lindstrom,63,G,ACT,76,310,8,Boston College
ATL,Christian Harris,45,LB,ACT,74,232,5,Alabama
ATL,Colby Sorsdal,,G,DEV,78,315,4,William & Mary
ATL,Cooper Rush,13,QB,ACT,75,225,9,Central Michigan
ATL,Corey Levin,62,G,ACT,76,307,8,Tennessee-Chattanooga
ATL,Da'Shawn Hand,90,DE,RES,75,302,9,Alabama
ATL,Darnay Holmes,30,CB,DEV,70,198,7,UCLA
ATL,DeAngelo Malone,50,LB,PUP,75,235,5,Western Kentucky
ATL,DeMarcco Hellams,23,SAF,ACT,73,203,4,Alabama
ATL,Divine Deablo,,LB,ACT,75,223,6,Virginia Tech
ATL,Drake Jackson,,LB,DEV,76,273,4,USC
ATL,Drake London,5,WR,ACT,76,215,5,USC
ATL,Dylan Drummond,80,WR,DEV,72,190,2,Eastern Michigan
ATL,Ethan Onianwa,75,OT,ACT,79,333,R,Ohio State
ATL,Gervon Dexter Sr.,95,DT,ACT,78,326,4,Florida
ATL,Harold Perkins Jr.,56,LB,ACT,72,222,R,LSU
ATL,JD Bertrand,40,LB,RES,73,230,3,Notre Dame
ATL,Jack Strand,18,QB,ACT,77,240,R,Minnesota State
ATL,Jack Velling,84,TE,DEV,77,245,R,Michigan State
ATL,Jahan Dotson,4,WR,ACT,71,184,5,Penn State
ATL,Jake Bailey,16,P,ACT,74,212,8,Stanford
ATL,Jake Matthews,70,OT,ACT,77,309,13,Texas A&M
ATL,Jalon Walker,11,LB,RES,74,245,2,Georgia
ATL,James Brockermeyer,66,C,CUT,75,295,R,Miami
ATL,James Pearce Jr.,27,DE,SUS,77,242,2,Tennessee
ATL,Jammie Robinson,34,SAF,DEV,71,195,4,Florida State
ATL,Jared Ivey,51,LB,ACT,78,274,2,Mississippi
ATL,Jawaan Taylor,71,OT,ACT,77,312,8,Florida
ATL,Jessie Bates,3,FS,ACT,73,210,9,Wake Forest
ATL,Josh Thompson,,G,DEV,76,315,R,LSU
ATL,Josh Woods,46,LB,ACT,73,235,7,Maryland
ATL,Kam Dewberry,61,G,DEV,76,332,R,Alabama
ATL,Kendal Daniels,53,LB,ACT,77,242,R,Oklahoma
ATL,Khalil Herbert,,RB,DEV,69,212,6,Virginia Tech
ATL,Kyle Hinton,68,G,ACT,74,315,4,Washburn
ATL,Kyle Pitts,8,TE,ACT,78,250,6,Florida
ATL,LaCale London,94,DE,ACT,75,297,3,Western Illinois
ATL,Liam McCullough,49,LS,ACT,74,245,5,Ohio State
ATL,Maason Smith,92,DT,ACT,77,306,3,LSU
ATL,Malcolm DeWalt IV,36,CB,ACT,74,190,R,Akron
ATL,Matthew Bergeron,65,OL,ACT,77,315,4,Syracuse
ATL,Michael Jerrell,72,OT,ACT,77,309,3,Findlay
ATL,Michael Penix Jr.,9,QB,ACT,75,220,3,Washington
ATL,Mike Ford,28,DB,ACT,72,199,9,Southeast Missouri State
ATL,Mike Hughes,21,CB,ACT,70,191,9,UCF
ATL,Nick Folk,6,K,ACT,73,225,19,Arizona
ATL,Nick Muse,87,TE,ACT,77,252,3,South Carolina
ATL,Olamide Zaccheaus,14,WR,ACT,68,194,8,Virginia
ATL,Riley Mahlman,76,OT,DEV,80,318,R,Wisconsin
ATL,Ryan Neuzil,64,G,ACT,75,305,5,Appalachian State
ATL,Samson Ebukam,52,DE,ACT,75,245,10,Eastern Washington
ATL,Storm Norton,77,OT,PUP,79,310,7,Toledo
ATL,Sydney Brown,29,SAF,ACT,70,211,4,Illinois
