team,player_name,jersey,pos,nfl_status,height,weight,experience,college
CHI,Dallis Flowers,37,CB,RES,73,196,4,Pittsburg State (KS)
CHI,Daniel Hardy,92,DE,ACT,74,255,4,Montana State
CHI,Darnell Wright,58,OT,ACT,77,325,4,Tennessee
CHI,Dayo Odeyingbo,55,DE,ACT,77,282,6,Vanderbilt
CHI,Deantre Prince,37,CB,DEV,72,183,2,Mississippi
CHI,Devin Bush,12,LB,ACT,71,234,8,Michigan
CHI,Dillon Thieneman,31,SAF,ACT,72,201,R,Oregon
CHI,Elijah Hicks,22,SAF,ACT,71,204,5,California
CHI,Garrett Bradbury,67,C,ACT,75,305,8,N.C. State
CHI,Grady Jarrett,50,DT,ACT,73,294,12,Clemson
CHI,Hayden Large,43,TE,RES,76,255,R,Iowa
CHI,JP Richardson,83,WR,DEV,71,192,1,TCU
CHI,Jack Sanborn,57,LB,ACT,74,234,5,Wisconsin
CHI,Jahdae Walker,9,WR,ACT,75,206,2,Texas A&M
CHI,James Lynch,97,DT,ACT,76,295,7,Baylor
CHI,Jamree Kromah,59,DE,ACT,75,268,1,James Madison
CHI,Jayden Loving,91,DT,ACT,73,309,R,Wake Forest
CHI,Jaylon Johnson,1,CB,ACT,72,195,7,Utah
CHI,Joe Thuney,62,G,ACT,77,301,11,N.C. State
CHI,Jonah Jackson,73,G,ACT,75,319,7,Ohio State
CHI,Jonathan Garvin,52,DE,RES,76,257,4,Miami
CHI,Jordan McFadden,74,G,ACT,74,306,4,Clemson
CHI,Jordan van den Berg,96,DT,ACT,75,310,R,Georgia Tech
CHI,Josh Blackwell,39,CB,ACT,71,180,5,Duke
CHI,Kaden Davis,81,WR,DEV,73,193,1,NW Missouri State University
CHI,Kalif Raymond,14,WR,ACT,69,160,10,Holy Cross
CHI,Keidron Smith,,DB,DEV,74,210,2,Kentucky
CHI,Kentavius Street,93,DE,ACT,74,315,8,N.C. State
CHI,Keyshaun Elliott,49,LB,ACT,73,233,R,Arizona State
CHI,Kyle Hergel,60,OL,DEV,74,315,2,Boston College
CHI,Kyle Monangai,25,RB,ACT,68,207,2,Rutgers
CHI,Kyler Gordon,6,CB,PUP,71,200,5,Washington
CHI,Logan Jones,54,C,ACT,75,299,R,Iowa
CHI,Luke Newman,65,G,ACT,76,308,2,Michigan State
CHI,Luther Burden III,10,WR,ACT,72,210,2,Missouri
CHI,Malik Muhammad,24,CB,ACT,72,182,R,Texas
CHI,Marcus Davenport,52,DE,DEV,78,265,9,Texas-San Antonio
CHI,Miller Moss,,QB,DEV,73,211,R,Louisville
CHI,Montez Sweat,98,DE,ACT,78,270,8,Mississippi State
CHI,Nephi Sewell,46,LB,RES,72,228,3,Utah
CHI,Neville Gallimore,90,DT,ACT,74,307,7,Oklahoma
CHI,Nikola Kalinic,86,TE,RES,76,248,2,York (Canada)
CHI,Noah Sewell,46,LB,PUP,73,246,4,Oregon
CHI,Ozzy Trapilo,75,OT,ACT,80,312,2,Boston College
CHI,Qadir Ismail,80,TE,DEV,78,245,1,Samford
CHI,Rome Odunze,15,WR,ACT,75,215,3,Washington
CHI,Roschon Johnson,23,RB,ACT,72,227,4,Texas
CHI,Ruben Hyppolite II,47,LB,RES,72,236,2,Maryland
CHI,Salvon Ahmed,36,RB,DEV,71,197,6,Washington
CHI,Sam Roush,87,TE,ACT,77,267,R,Stanford
CHI,Scott Miller,82,WR,DEV,69,174,8,Bowling Green
CHI,Shemar Turner,95,DT,PUP,75,293,2,Texas A&M
CHI,Skyler Thomas,38,SAF,ACT,74,191,R,Oregon State
CHI,Stephen Carlson,88,TE,DEV,76,248,4,Princeton
CHI,T.J. Edwards,53,LB,ACT,72,228,8,Wisconsin
CHI,Theo Benedet,79,OL,ACT,79,305,2,University of British Columbia
CHI,Tony Fields II,43,LB,RES,73,220,5,West Virginia
CHI,Tory Taylor,19,P,ACT,76,225,3,Iowa
CHI,Tyrique Stevenson,29,CB,ACT,72,212,4,Miami
CHI,Tyson Bagent,17,QB,ACT,75,213,4,Shepherd
CHI,Wayne Matthews II,35,LB,DEV,72,221,R,Michigan State
CHI,Xavier Woods,32,FS,ACT,71,200,10,Louisiana Tech
CHI,Zavier Scott,,RB,DEV,73,221,2,Maine
CHI,Zavion Thomas,13,WR,ACT,70,190,R,LSU
CIN,Amarius Mims,71,OT,ACT,80,350,3,Georgia
CIN,Andrei Iosivas,80,WR,ACT,75,210,4,Princeton
CIN,B.J. Hill,92,DT,ACT,75,311,9,N.C. State
CIN,Barrett Carter,49,LB,ACT,72,230,2,Clemson
CIN,Blake Freeland,,OT,DEV,79,302,4,BYU
CIN,Boye Mafe,53,DE,ACT,76,265,5,Minnesota
CIN,Bralyn Lux,21,DB,DEV,70,180,1,Texas Tech
CIN,Brian Parker II,62,OT,RSR,77,310,R,Duke
CIN,Bryan Cook,6,SAF,ACT,73,210,5,Cincinnati
CIN,Cashius Howell,55,DE,ACT,76,255,R,Texas A&M
CIN,Cedric Johnson,52,DE,ACT,75,264,3,Mississippi
CIN,Chase Brown,30,RB,ACT,70,211,4,Illinois
CIN,Colbie Young,86,WR,ACT,76,218,R,Georgia
CIN,Connor Lew,65,C,ACT,76,310,R,Auburn
CIN,D.J. Ivey,38,CB,ACT,73,192,4,Miami
CIN,DJ Turner II,,CB,ACT,71,185,4,Michigan
CIN,Dalton Risner,66,G,ACT,77,312,8,Kansas State
CIN,Daxton Hill,23,DB,ACT,72,195,5,Michigan
CIN,Demetrius Knight Jr.,44,LB,ACT,74,240,2,South Carolina
CIN,Dexter Lawrence,97,DT,ACT,77,350,8,Clemson
CIN,Dohnte Meyers,81,WR,ACT,71,186,1,Delta State University
CIN,Drew Sample,89,TE,ACT,77,260,8,Washington
CIN,Dylan Fairchild,63,G,ACT,77,318,2,Georgia
CIN,Erick All,83,TE,ACT,77,255,3,Iowa
CIN,Evan McPherson,2,K,ACT,71,185,6,Florida
CIN,Garmon Randolph,,LB,DEV,80,260,1,Baylor
CIN,Howard Cross III,95,DT,DEV,73,285,2,Notre Dame
CIN,Isaiah Foskey,51,DE,DEV,77,280,4,Notre Dame
CIN,Ja'Marr Chase,1,WR,ACT,72,205,6,LSU
CIN,Ja'Sir Taylor,26,CB,RSR,70,185,5,Wake Forest
CIN,Jack Endries,84,TE,ACT,77,245,R,Texas
CIN,Jacob Bayer,69,C,ACT,75,310,1,Arkansas State
CIN,Jalen Davis,35,CB,ACT,70,186,6,Utah State
CIN,Jalen Rivers,74,G,ACT,77,319,2,Miami
CIN,Javon Foster,73,OT,ACT,77,319,2,Missouri
CIN,Joe Burrow,9,QB,ACT,76,215,7,LSU
CIN,Joe Flacco,16,QB,ACT,78,245,19,Delaware
CIN,Joe Giles-Harris,43,LB,DEV,74,234,3,Duke
CIN,Jonathan Allen,93,DT,ACT,75,300,10,Alabama
CIN,Jordan Battle,27,SAF,ACT,73,215,4,Alabama
CIN,Jordan Moore,14,WR,DEV,72,191,1,Duke
CIN,Josh Johnson,11,QB,DEV,75,219,14,San Diego
CIN,Josh Newton,28,CB,ACT,71,190,3,TCU
CIN,Ke'Shawn Williams,12,WR,ACT,69,189,2,Indiana
CIN,Kendall Milton,36,RB,DEV,73,230,1,Georgia
CIN,Kentrel Bullock,31,RB,DEV,70,205,R,South Alabama
CIN,Kris Jenkins,90,DT,ACT,75,310,3,Michigan
CIN,Kyle Dugger,29,SAF,ACT,73,216,7,Lenoir Rhyne
CIN,Landon Robinson,96,DT,ACT,72,295,R,Navy
CIN,Mike Gesicki,88,TE,ACT,78,245,9,Penn State
CIN,Myles Hinton,77,OT,ACT,78,342,2,Michigan
CIN,Myles Murphy,99,DE,ACT,77,275,4,Clemson
CIN,Noah Thomas,17,WR,DEV,77,203,R,Georgia
CIN,Oren Burks,42,ILB,ACT,75,233,9,Vanderbilt
CIN,Orlando Brown,75,OT,ACT,80,350,9,Oklahoma
CIN,PJ Jules,37,SAF,ACT,72,203,2,Southern Illinois
CIN,Russ Yeast,22,SAF,DEV,70,195,3,Kansas State
CIN,Ryan Rehkow,8,P,ACT,77,235,3,BYU
CIN,Samaje Perine,34,RB,ACT,70,240,10,Oklahoma
CIN,Sean Clifford,4,QB,DEV,74,212,2,Penn State
CIN,Shaka Heyward,50,LB,DEV,75,238,3,Duke
CIN,Shemar Stewart,94,DE,ACT,77,267,2,Texas A&M
CIN,Swayze Bozeman,47,LB,ACT,73,224,2,Southern Mississippi
CIN,Tacario Davis,20,CB,ACT,76,194,R,Washington
CIN,Tahj Brooks,25,RB,ACT,69,220,2,Texas Tech
CIN,Tanner Hudson,87,TE,DEV,77,241,7,Southern Arkansas
CIN,Ted Karras,64,C,ACT,76,310,11,Illinois
CIN,Tedarrell Slaton,98,DT,ACT,77,340,6,Florida
CIN,Tee Higgins,5,WR,ACT,76,219,7,Clemson
CIN,Trikweze Bridges,,DB,DEV,74,200,2,Florida
CIN,William Wagner,46,LS,ACT,74,240,2,Michigan
CLE,Adin Huntington,98,DE,ACT,73,281,2,Tulane
CLE,Alex Wright,91,DE,RES,77,267,5,UAB
CLE,Andre Szmyt,25,K,ACT,72,200,2,Syracuse
CLE,Austin Barber,58,OT,ACT,79,320,R,Florida
CLE,Blake Whiteheart,86,TE,ACT,76,250,4,Wake Forest
CLE,Bub Means,,WR,DEV,74,215,3,Pittsburgh
CLE,Carsen Ryan,48,TE,ACT,75,255,R,BYU
CLE,Carson Schwesinger,49,LB,ACT,75,242,2,UCLA
CLE,Chris Williams,61,DT,CUT,74,298,5,Wagner
CLE,Corey Bojorquez,13,P,ACT,72,217,9,New Mexico
CLE,D'Angelo Ross,38,CB,CUT,69,190,5,New Mexico
CLE,Damarri Mathis,37,DB,RES,71,195,5,Pittsburgh
CLE,Daniel Thomas,24,SAF,ACT,70,215,7,Auburn
CLE,Dawand Jones,79,OT,ACT,80,375,4,Ohio State
CLE,Denzel Boston,12,WR,ACT,76,215,R,Washington
CLE,Denzel Ward,21,CB,ACT,71,190,9,Ohio State
CLE,Derek Barnett,97,DE,ACT,75,259,10,Tennessee
CLE,Deshaun Watson,4,QB,ACT,75,223,10,Clemson
CLE,Dillon Gabriel,6,QB,RSR,71,205,2,Oregon
CLE,Donovan McMillon,31,SAF,ACT,74,203,2,Pittsburgh
CLE,Dylan Sampson,22,RB,RES,68,201,2,Tennessee
CLE,Easton Mascarenas-Arnold,42,LB,ACT,71,226,2,USC
CLE,Edefuan Ulofoshio,54,LB,RES,73,240,2,Washington
CLE,Elgton Jenkins,74,C,ACT,77,311,8,Mississippi State
CLE,Elijah Chatman,62,DT,RES,72,278,2,SMU
CLE,Emmanuel McNeil-Warren,28,SAF,ACT,75,210,R,Toledo
CLE,Eric Gray,,RB,DEV,70,210,4,Oklahoma
CLE,Grant Delpit,9,SAF,ACT,75,208,7,LSU
CLE,Harold Fannin Jr.,44,TE,ACT,76,241,2,Bowling Green
CLE,Isaiah Bond,,WR,ACT,71,180,2,Texas
CLE,Isaiah McGuire,57,DE,ACT,76,268,4,Missouri
CLE,Jaleel McLaughlin,,RB,ACT,69,183,4,Youngstown State
CLE,Jared Verse,8,DE,ACT,76,260,3,Florida State
CLE,Jeremiah Owusu-Koramoah,6,LB,PUP,74,221,6,Notre Dame
CLE,Jerry Jeudy,3,WR,ACT,73,195,7,Alabama
CLE,Jimmy Horn Jr.,,WR,DEV,68,174,2,Colorado
CLE,Joe Royer,18,TE,RSN,77,250,R,Cincinnati
CLE,Justin Jefferson,17,LB,ACT,72,223,R,Alabama
CLE,KC Concepcion,1,WR,ACT,72,190,R,Texas A&M
CLE,KT Leveston,72,OT,DEV,76,335,3,Kansas State
CLE,Kalia Davis,93,DT,RES,74,310,5,UCF
CLE,Kendrick Green,53,G,RES,76,315,5,Illinois
CLE,Khordae Sydnor,90,DE,DEV,76,264,R,Vanderbilt
CLE,Kole Wilson,87,WR,CUT,67,177,R,Baylor
CLE,Logan Fano,99,DE,DEV,77,252,R,Utah
CLE,Luke Wypler,56,C,ACT,75,303,4,Ohio State
CLE,Malachi Corley,11,WR,ACT,71,215,3,Western Kentucky
CLE,Maliek Collins,96,DT,ACT,74,310,11,Nebraska
CLE,Mason Graham,94,DT,ACT,76,315,2,Michigan
CLE,Mekhi Blackmon,29,DB,ACT,71,178,4,USC
CLE,Messiah Swinson,,TE,DEV,79,259,1,Arizona State
CLE,Michael Burton,34,FB,ACT,72,247,12,Rutgers
CLE,Michael Coats Jr.,,CB,DEV,70,185,R,West Virginia
CLE,Mike Hall Jr.,51,DT,ACT,75,300,3,Ohio State
CLE,Myles Bryant,27,CB,DEV,69,192,7,Washington
CLE,Myles Harden,26,CB,ACT,71,195,3,South Dakota
CLE,Nadame Tucker,,DE,DEV,75,250,R,Western Michigan
CLE,Nathaniel Watson,40,LB,DEV,72,233,3,Mississippi State
CLE,Noah Igbinoghene,,CB,ACT,71,197,7,Auburn
CLE,Obinna Eze,,OT,DEV,78,325,2,TCU
CLE,Parker Brailsford,52,C,ACT,74,290,R,Alabama
CLE,Quincy Williams,5,LB,ACT,71,230,8,Murray State
CLE,Quinshon Judkins,10,RB,ACT,72,221,2,Ohio State
CLE,Raheim Sanders,23,RB,ACT,72,230,2,South Carolina
CLE,Rex Sunahara,50,LS,ACT,78,242,3,West Virginia
CLE,Ronnie Hickman Jr.,33,SAF,ACT,73,209,4,Ohio State
CLE,Sam Kamara,92,DT,DEV,72,272,4,Stony Brook
CLE,Sam Williams,54,DE,ACT,76,261,5,Mississippi
CLE,Shedeur Sanders,2,QB,ACT,74,212,2,Colorado
CLE,Spencer Fano,55,OT,ACT,78,315,R,Utah
CLE,Taylen Green,15,QB,ACT,78,230,R,Arkansas
CLE,Teven Jenkins,78,G,ACT,78,320,6,Oklahoma State
CLE,Toriano Pride Jr.,35,CB,ACT,70,185,R,Missouri
CLE,Tylan Wallace,16,WR,ACT,71,200,6,Oklahoma State
CLE,Tyson Campbell,7,CB,ACT,73,195,6,Georgia
CLE,Tytus Howard,71,OT,ACT,77,320,8,Alabama State
CLE,Wes Pahl,,P,DEV,77,205,R,Oklahoma State
CLE,Winston Reid,59,LB,ACT,72,225,3,Weber State
CLE,Xavier Truss,,G,DEV,79,320,2,Georgia
CLE,Zak Zinter,70,G,ACT,78,310,3,Michigan
CLE,Zion Johnson,77,G,ACT,75,316,5,Boston College
CLE,Zion Logue,,DT,DEV,78,325,1,Georgia
CLE,Zion Washington,30,SAF,DEV,73,208,R,Boise State
DAL,Adedayo Odeleye,96,DE,DEV,77,285,1,
DAL,Ajani Cornelius,65,OT,ACT,77,318,2,Oregon
DAL,Alijah Clark,11,DB,ACT,73,200,2,Syracuse
DAL,Ameer Speed,23,CB,ACT,75,215,3,Michigan State
DAL,Anthony Smith,83,WR,DEV,74,200,R,East Carolina
DAL,Brandon Aubrey,17,K,ACT,75,218,4,Notre Dame
DAL,Brevyn Spann-Ford,89,TE,ACT,78,265,3,Minnesota
DAL,Broderick Jones,77,OT,ACT,77,311,4,Georgia
DAL,Bryan Anger,5,P,ACT,75,214,15,California
DAL,Caelen Carson,21,DB,ACT,72,198,3,Wake Forest
DAL,Caleb Downs,13,SAF,ACT,72,210,R,Ohio State
DAL,Camden Brown,80,WR,ACT,74,204,R,Georgia Southern
DAL,CeeDee Lamb,88,WR,ACT,74,198,7,Oklahoma
DAL,Cobie Durant,2,CB,ACT,71,187,5,South Carolina State
DAL,Cooper Beebe,56,C,ACT,75,320,3,Kansas State
DAL,Curtis Robinson,42,LB,DEV,75,246,4,Stanford
DAL,DJ Rogers,49,TE,RES,76,255,R,TCU
DAL,DaRon Bland,26,CB,ACT,74,202,5,Fresno State
DAL,Dak Prescott,4,QB,ACT,74,230,11,Mississippi State
DAL,DeMarvion Overshown,,LB,ACT,75,235,4,Texas
DAL,Dee Winters,53,LB,ACT,71,227,4,TCU
DAL,Derion Kendrick,15,CB,DEV,72,199,5,Georgia
DAL,Devin Moore,29,CB,RSR,75,198,R,Florida
DAL,Donovan Ezeiruaku,6,LB,ACT,74,255,2,Boston College
DAL,Drew Shelton,67,OT,ACT,77,313,R,Penn State
DAL,Elijah Garcia,,DE,DEV,77,302,3,Rice
DAL,Emari Demercado,31,RB,ACT,69,215,4,TCU
DAL,George Pickens,3,WR,ACT,75,205,5,Georgia
DAL,Hunter Luepke,30,RB,ACT,73,250,4,North Dakota State
DAL,Isaiah Land,58,LB,DEV,76,250,3,Florida A&M
DAL,Israel Abanikanda,25,RB,DEV,70,225,3,Pittsburgh
DAL,Jaishawn Barham,55,LB,ACT,74,240,R,Michigan
DAL,Jake Ferguson,87,TE,ACT,77,250,5,Wisconsin
DAL,Jalen Thompson,34,DB,ACT,71,190,8,Washington State
DAL,James Houston,41,LB,ACT,73,248,5,Jackson State University
DAL,James Mitchell,,TE,DEV,76,264,4,Virginia Tech
DAL,Javonte Williams,33,RB,ACT,70,220,6,North Carolina
DAL,Joe Milton III,,QB,DEV,77,236,3,Tennessee
DAL,Jonathan Bullard,90,DE,ACT,75,290,11,Florida
DAL,Jonathan Mingo,18,WR,ACT,74,225,4,Mississippi
DAL,Jordan Hudson,81,WR,DEV,73,202,R,SMU
DAL,Justin Barron,45,LB,DEV,76,235,1,Syracuse
DAL,KaVontae Turpin,9,WR,ACT,67,158,5,TCU
DAL,Kelvin Gilliam,94,DT,RES,74,300,R,Virginia Tech
DAL,Kenny Clark,97,NT,ACT,75,314,11,UCLA
DAL,LT Overton,99,DT,ACT,75,274,R,Alabama
DAL,Laken Tomlinson,,G,DEV,75,323,12,Duke
DAL,Luke Schoonmaker,86,TE,ACT,77,250,4,Michigan
DAL,Malachi Lawrence,57,LB,ACT,76,253,R,UCF
DAL,Malik Davis,20,RB,RES,71,205,3,Florida
DAL,Malik Hooker,24,FS,ACT,73,215,10,Ohio State
DAL,Marcellus Johnson,79,OT,DEV,76,315,1,Missouri
DAL,Marist Liufau,35,LB,RSR,74,245,3,Notre Dame
DAL,Markquese Bell,14,SAF,ACT,74,217,5,Florida A&M
DAL,Matt Hennessy,72,C,RES,76,295,7,Temple
DAL,Michael Trigg,46,TE,DEV,76,250,R,Baylor
DAL,Nick Leverett,51,G,ACT,75,315,5,Rice
DAL,Otito Ogbonnia,91,DT,ACT,76,320,5,UCLA
DAL,P.J. Locke,1,DB,ACT,70,205,7,Texas
DAL,Princeton Fant,85,TE,RES,74,245,2,Tennessee
DAL,Quinnen Williams,92,DT,ACT,75,303,8,Alabama
DAL,Rashan Gary,7,LB,ACT,77,275,8,Michigan
DAL,Reddy Steward,27,DB,DEV,71,187,2,Troy
DAL,Ryan Flournoy,19,WR,ACT,73,205,3,Southeast Missouri State
DAL,Sam Howell,16,QB,ACT,73,225,5,North Carolina
DAL,Shavon Revel Jr.,28,CB,ACT,74,198,2,East Carolina
DAL,Shemar James,50,LB,ACT,73,235,2,Florida
DAL,TJ Bass,66,G,ACT,77,320,4,Oregon
DAL,Terence Steele,78,OT,ACT,78,320,7,Texas Tech
DAL,Tommy Dunn,95,DT,DEV,75,305,R,Kansas
DAL,Trent Sieg,44,LS,ACT,76,255,9,Colorado State
DAL,Tyler Booker,52,G,ACT,77,330,2,Alabama
DAL,Tyler Goodson,,RB,ACT,69,197,4,Iowa
DAL,Tyler Guyton,60,OT,ACT,79,325,3,Oklahoma
DAL,Tyler Smith,73,G,RES,77,328,5,Tulsa
DAL,Tyrus Wheat,59,LB,ACT,74,260,4,Mississippi State
DAL,Von Miller,40,OLB,ACT,75,245,16,Texas A&M
DAL,Wanya Morris,,OT,DEV,78,307,4,Oklahoma
DEN,Adam Prentice,46,FB,DEV,72,245,6,South Carolina
DEN,Adam Trautman,82,TE,ACT,77,253,7,Dayton
DEN,Alex Forsyth,54,C,ACT,76,312,4,Oregon
DEN,Alex Palczewski,63,OT,ACT,78,315,4,Illinois
DEN,Alex Singleton,49,LB,ACT,74,240,8,Montana State
DEN,Ben Powers,74,G,ACT,76,310,8,Oklahoma
DEN,Bo Nix,10,QB,ACT,74,217,3,Oregon
DEN,Brandon Jones,22,SAF,ACT,73,191,7,Texas
DEN,Brent Austin,33,CB,DEV,71,180,R,California
DEN,Caleb Lohner,84,TE,RSR,79,250,1,Utah
DEN,Calvin Throckmorton,76,OT,DEV,77,311,6,Oregon
DEN,Cody Schrader,25,RB,DEV,69,214,3,Missouri
DEN,Courtland Sutton,14,WR,ACT,76,216,9,SMU
DEN,D.J. Jones,93,DT,ACT,72,305,10,Mississippi
DEN,Dallen Bentley,89,TE,ACT,76,253,R,Utah
DEN,Dane Key,87,WR,DEV,75,210,R,Nebraska
DEN,David Agoha,,DE,DEV,76,260,1,
DEN,Devon Key,26,SAF,ACT,72,208,3,Western Kentucky
DEN,Dondrea Tillman,92,LB,ACT,76,247,3,"Indiana PA, University of"
DEN,Evan Engram,1,TE,ACT,75,240,10,Mississippi
DEN,Eyioma Uwazurike,96,DT,ACT,78,320,4,Iowa State
DEN,Frank Crum,73,OT,RSR,79,315,3,Wyoming
DEN,Garett Bolles,72,OT,ACT,77,300,10,Utah
DEN,Gavin Ortega,68,OT,DEV,77,300,R,Weber State
DEN,J.K. Dobbins,27,RB,ACT,70,212,7,Ohio State
DEN,JL Skinner,34,SAF,ACT,76,220,4,Boise State
DEN,Ja'Quan McMillian,29,CB,ACT,70,183,4,East Carolina
DEN,Jahdae Barron,23,CB,ACT,71,200,2,Texas
DEN,Jarrett Stidham,8,QB,ACT,75,215,7,Auburn
DEN,Jaylen Waddle,17,WR,ACT,70,185,6,Alabama
DEN,Jeremy Crawshaw,16,P,ACT,75,205,2,Florida
DEN,Johnny Walker Jr.,59,LB,DEV,75,250,2,Missouri
DEN,Jonah Coleman,20,RB,ACT,68,220,R,Washington
DEN,Jonah Elliss,52,LB,ACT,74,246,3,Utah
DEN,Jonathon Cooper,,LB,EXE,76,257,6,Ohio State
DEN,Jordan Jackson,94,DT,ACT,77,294,3,Air Force
DEN,Jordan Turner,55,LB,ACT,73,231,2,Michigan State
DEN,Justin Strnad,40,LB,ACT,75,235,7,Wake Forest
DEN,Kage Casey,78,OT,ACT,77,311,R,Boise State
DEN,Karene Reid,47,LB,ACT,72,227,2,Utah
DEN,Kolbe Katsis,81,WR,DEV,73,185,R,Northern Arizona
DEN,Kris Abrams-Draine,31,CB,ACT,71,178,3,Missouri
DEN,Levelle Bailey,56,LB,RES,74,225,2,Fresno State
DEN,Lil'Jordan Humphrey,,WR,ACT,76,225,7,Texas
DEN,Lucas Krull,85,TE,DEV,78,260,4,Pittsburgh
DEN,Luke Wattenberg,60,C,ACT,77,300,5,Washington
DEN,Malcolm Roach,97,DT,ACT,75,290,7,Texas
DEN,Marvin Mims Jr.,19,WR,ACT,71,182,4,Oklahoma
DEN,Matt Henningsen,91,DE,RES,75,291,4,Wisconsin
DEN,Matt Peart,79,OT,ACT,79,318,7,Connecticut
DEN,Michael Bandy,83,WR,DEV,70,190,3,San Diego
DEN,Michael Deiter,67,C,RES,78,315,7,Wisconsin
DEN,Mike McGlinchey,69,OT,ACT,80,315,9,Notre Dame
DEN,Miles Scott,39,SAF,DEV,71,210,R,Illinois
DEN,Mitchell Fraboni,48,LS,DEV,74,223,5,Arizona State
DEN,Nate Adkins,45,TE,ACT,75,252,4,South Carolina
DEN,Nick Gargiulo,66,G,PUP,77,327,2,South Carolina
DEN,Nik Bonitto,15,LB,ACT,75,240,5,Oklahoma
DEN,Pat Bryant,13,WR,ACT,74,204,2,Illinois
DEN,Pat Surtain II,2,CB,ACT,74,202,6,Alabama
DEN,Que Robinson,51,LB,ACT,76,243,2,Alabama
DEN,Quinn Meinerz,77,C,ACT,75,320,6,Wisconsin-Whitewater
DEN,RJ Harvey,12,RB,ACT,68,205,2,UCF
DEN,Red Murdock,50,LB,DEV,73,240,R,Buffalo
DEN,Riley Moss,21,CB,ACT,72,193,4,Iowa
DEN,Sai'vion Jones,95,DE,ACT,77,289,2,LSU
DEN,Sam Ehlinger,4,QB,ACT,73,222,6,Texas
DEN,Sean Fresch,37,DB,DEV,69,181,1,Rice
DEN,Talanoa Hufanga,9,SAF,ACT,72,200,6,USC
DEN,Taylor Rapp,30,SAF,DEV,72,208,8,Washington
DEN,Troy Franklin,11,WR,ACT,75,180,3,Oregon
DEN,Tycen Anderson,6,SAF,ACT,74,210,5,Toledo
DEN,Tyler Badie,28,RB,ACT,68,197,3,Missouri
DEN,Tyler Miller,71,OT,DEV,81,335,R,Iowa State
DEN,Tyler Onyedim,98,DT,ACT,75,292,R,Texas A&M
DEN,Wil Lutz,3,K,ACT,71,184,11,Georgia State
DEN,Zach Allen,99,DE,ACT,76,285,8,Boston College
DET,Aamaris Brown,24,DB,DEV,70,198,R,UNLV
DET,Ahmed Hassanein,99,DE,ACT,74,275,1,Boise State
DET,Aidan Hutchinson,97,DE,ACT,79,268,5,Michigan
DET,Alim McNeill,54,DT,ACT,74,310,6,N.C. State
DET,Amen Ogbongbemiga,57,LB,DEV,72,231,6,Oklahoma State
DET,Amon-Ra St. Brown,14,WR,ACT,72,202,6,USC
DET,Anthony Lucas,61,DE,DEV,77,265,R,USC
DET,Avonte Maddox,29,FS,ACT,69,191,9,Pittsburgh
DET,Ben Bartch,78,OT,ACT,78,318,7,St. John's (MN)
DET,Ben Stille,96,DE,DEV,76,296,3,Nebraska
DET,Blake Miller,76,OT,ACT,78,320,R,Clemson
DET,Brian Branch,32,CB,PUP,72,203,4,Alabama
DET,Brock Wright,89,TE,ACT,77,254,6,Notre Dame
DET,Cade Mays,64,C,RSR,78,325,5,Tennessee
DET,Chris Smith,90,DT,DEV,73,320,1,Notre Dame
DET,Christian Izien,5,SAF,ACT,70,206,4,Rutgers
DET,Christian Mahogany,73,G,ACT,75,330,3,Boston College
DET,Chuck Clark,36,SAF,ACT,72,209,10,Virginia Tech
DET,D.J. Reed,4,CB,ACT,69,190,9,Kansas State
DET,D.J. Wonnum,98,DE,ACT,77,262,7,South Carolina
DET,Damone Clark,11,LB,RES,74,240,5,LSU
DET,Derrick Barnes,55,LB,ACT,72,240,6,Purdue
DET,Derrick Moore,8,DE,ACT,75,260,R,Michigan
DET,Devin Cochran,77,OT,DEV,79,322,3,Georgia Tech
DET,Devin White,45,LB,ACT,72,252,8,LSU
DET,Dominic Lovett,19,WR,DEV,70,185,2,Georgia
DET,Elijah Klein,,G,DEV,76,319,3,Texas-El Paso
DET,Ennis Rakestraw Jr.,2,CB,ACT,71,192,3,Missouri
DET,Eric O'Neill,66,DE,ACT,74,250,R,Rutgers
DET,Giovanni Manu,59,OL,RSN,79,345,3,University of British Columbia
DET,Hogan Hatten,49,LS,ACT,74,239,3,Idaho
DET,Isaac TeSlaa,18,WR,ACT,76,214,2,Arkansas
DET,Isiah Pacheco,10,RB,RES,70,210,5,Rutgers
DET,Jabari Small,,RB,DEV,71,208,1,Tennessee
DET,Jack Campbell,46,LB,ACT,77,246,4,Iowa
DET,Jack Fox,3,P,ACT,74,218,7,Rice
DET,Jackson Meeks,13,WR,ACT,74,235,1,Syracuse
DET,Jacob Saylors,25,RB,ACT,71,195,2,East Tennessee State
DET,Jahmyr Gibbs,,RB,ACT,69,202,4,Alabama
DET,Jake Bates,39,K,ACT,70,205,3,Arkansas
DET,Jalen Mills,,CB,DEV,72,200,11,LSU
DET,Jameson Williams,1,WR,ACT,73,184,5,Alabama
DET,Jared Goff,16,QB,ACT,76,217,11,California
DET,Jimmy Rolder,41,LB,ACT,74,238,R,Michigan
DET,Joe Bachie,35,LB,ACT,74,238,7,Michigan State
DET,Joshua Dobbs,11,QB,ACT,75,216,10,Tennessee
DET,Juice Scruggs,70,C,ACT,75,320,4,Penn State
DET,Keith Abney II,6,CB,ACT,69,187,R,Arizona State
DET,Kendrick Law,88,WR,RES,71,203,R,Kentucky
DET,Kerby Joseph,31,SAF,PUP,72,210,5,Illinois
