game_id,team,plays,rushing_yards,passing_yards,total_yards,points
2015_05_CLE_BAL,BAL,67,181,196,377,30
2015_05_CLE_BAL,CLE,80,83,422,505,33
2015_05_DEN_OAK,DEN,55,43,254,297,16
2015_05_IND_HOU,HOU,70,82,362,444,20
2015_05_IND_HOU,IND,56,113,213,326,27
2015_05_JAX_TB,JAX,56,55,270,325,31
2015_05_JAX_TB,TB,59,185,186,371,38
2015_05_NE_DAL,DAL,65,103,163,266,6
2015_05_NE_DAL,NE,53,111,247,358,30
2015_05_NO_PHI,NO,68,97,292,389,17
2015_05_NO_PHI,PHI,79,186,333,519,39
2015_05_PIT_SD,PIT,55,155,194,349,24
2015_05_SEA_CIN,CIN,79,109,310,419,27
2015_05_SEA_CIN,SEA,57,200,197,397,24
2015_05_SF_NYG,NYG,75,84,441,525,30
2015_05_SF_NYG,SF,63,125,256,381,27
2015_05_STL_GB,GB,58,88,236,324,24
2015_05_WAS_ATL,ATL,77,176,242,418,25
2015_05_WAS_ATL,WAS,57,51,219,270,19
2015_06_ARI_PIT,ARI,64,56,414,470,13
2015_06_ARI_PIT,PIT,52,142,169,311,25
2015_06_ATL_NO,ATL,70,150,263,413,21
2015_06_ATL_NO,NO,71,82,304,386,31
2015_06_BAL_SF,BAL,74,77,343,420,20
2015_06_BAL_SF,SF,55,65,326,391,25
2015_06_CAR_SEA,CAR,70,136,248,384,27
2015_06_CAR_SEA,SEA,60,115,219,334,23
2015_06_CHI_DET,CHI,73,91,353,444,34
2015_06_CHI_DET,DET,76,155,391,546,37
2015_06_CIN_BUF,BUF,66,112,256,368,21
2015_06_CIN_BUF,CIN,59,114,243,357,34
2015_06_DEN_CLE,CLE,75,110,189,299,23
2015_06_DEN_CLE,DEN,80,152,290,442,26
2015_06_HOU_JAX,HOU,65,98,287,385,31
2015_06_HOU_JAX,JAX,77,83,311,394,20
2015_06_KC_MIN,KC,57,57,271,328,10
2015_06_KC_MIN,MIN,65,89,237,326,16
2015_06_MIA_TEN,MIA,63,180,254,434,38
2015_06_MIA_TEN,TEN,64,63,236,299,10
2015_06_NE_IND,IND,74,121,289,410,27
2015_06_NE_IND,NE,62,118,301,419,34
2015_06_NYG_PHI,NYG,64,81,166,247,7
2015_06_NYG_PHI,PHI,73,161,270,431,27
2015_06_SD_GB,GB,48,134,237,371,27
2015_06_WAS_NYJ,NYJ,65,223,253,476,34
2015_06_WAS_NYJ,WAS,62,34,191,225,20
2015_07_ATL_TEN,ATL,67,130,251,381,10
2015_07_ATL_TEN,TEN,52,77,179,256,7
2015_07_BAL_ARI,ARI,58,151,264,415,26
2015_07_BAL_ARI,BAL,58,55,221,276,18
2015_07_BUF_JAX,BUF,74,115,260,375,31
2015_07_BUF_JAX,JAX,59,124,175,299,34
2015_07_CLE_STL,CLE,65,82,282,364,6
2015_07_DAL_NYG,DAL,69,233,227,460,20
2015_07_DAL_NYG,NYG,47,136,157,293,27
2015_07_HOU_MIA,HOU,78,71,251,322,26
2015_07_HOU_MIA,MIA,56,250,255,505,44
2015_07_MIN_DET,DET,50,77,197,274,19
2015_07_MIN_DET,MIN,73,141,285,426,28
2015_07_NO_IND,IND,61,75,301,376,21
2015_07_NO_IND,NO,79,187,266,453,27
2015_07_NYJ_NE,NE,66,16,337,353,30
2015_07_NYJ_NE,NYJ,70,89,283,372,23
2015_07_PHI_CAR,CAR,57,205,190,395,27
2015_07_PHI_CAR,PHI,81,177,172,349,16
2015_07_PIT_KC,KC,61,140,239,379,23
2015_07_PIT_KC,PIT,54,149,192,341,13
2015_07_SEA_SF,SEA,67,179,212,391,20
2015_07_SEA_SF,SF,45,61,81,142,3
2015_07_TB_WAS,TB,60,190,289,479,30
2015_07_TB_WAS,WAS,59,51,305,356,31
2015_08_ARI_CLE,ARI,74,121,372,493,34
2015_08_ARI_CLE,CLE,61,39,215,254,20
2015_08_CIN_PIT,CIN,62,80,218,298,16
2015_08_CIN_PIT,PIT,67,116,240,356,10
2015_08_DET_KC,DET,58,81,195,276,10
2015_08_DET_KC,KC,62,207,134,341,45
2015_08_GB_DEN,DEN,63,160,340,500,29
2015_08_GB_DEN,GB,46,90,50,140,10
2015_08_IND_CAR,CAR,73,140,239,379,29
2015_08_IND_CAR,IND,82,136,223,359,26
2015_08_MIA_NE,MIA,62,15,255,270,7
2015_08_MIA_NE,NE,66,95,342,437,36
