bucket,n_plays,sigma_left,sigma_right,ks_split,ks_split_p,aic_split,skew_a,skew_loc,skew_scale,ks_skew,ks_skew_p,aic_skew,ks_winner,aic_winner
Q1 (worst),27087,3.4328251937830494,9.852346803020442,0.371841691369596,0.0,221412.88850956113,3.8573418293386257,-10.372896398228912,14.323830931161693,0.1626861802885025,0.0,193016.89440697915,skew,skew
Q2,27117,3.5328309236729605,9.800880987319331,0.36994724287575204,0.0,217852.9579924473,3.9092862515400957,-10.382991187126684,14.216359708615908,0.1633338409153956,0.0,192703.20198340344,skew,skew
Q3 (neutral),27178,3.5659055541616604,10.039653432989034,0.36672864319074006,0.0,219347.9801544136,3.8992708099211577,-10.526900872308422,14.409012891338392,0.16106383392160556,0.0,193887.7442808229,skew,skew
Q4,27358,3.439234381148552,9.580834300655557,0.3604857845062725,0.0,222057.82141936416,3.9720885026981865,-10.311085596388267,14.132408825443033,0.1591565892194639,0.0,194002.51326977735,skew,skew
Q5 (best),26495,3.3842201342002163,9.533583804312176,0.3494261188025125,0.0,217162.94283254418,4.0521700314794735,-10.314879394285141,14.193169365148226,0.15140621142053878,0.0,187958.5877398643,skew,skew
