bucket,z,target_neg,target_exp,before_neg,after_neg,before_exp,after_exp,n_after,n_before
Q1 (worst),-1.4693016312045124,0.2410027816715385,0.1000441873246285,0.18421897575854873,0.23942075623491552,0.10643763043827259,0.09613837489943684,12430,12458
Q2,-0.5744596336552674,0.2148990873169506,0.1080418503454915,0.1914486279514997,0.20798387096774193,0.10035098915124442,0.1060483870967742,12400,12536
Q3 (neutral),0.0071772110744978,0.1994683792719269,0.1108000791033546,0.18993610223642174,0.1924198250728863,0.09952076677316293,0.11175898931000972,12348,12520
Q4,0.5545897129285798,0.1846261298050079,0.1184508192806645,0.18711582980761554,0.18136506150012058,0.10114153428594236,0.11761395610579628,12439,12527
Q5 (best),1.4725872223524257,0.1592312713732843,0.127404508088703,0.18487126179433871,0.17194169284046065,0.10139133216056292,0.12458725940243215,12417,12506
