bucket,n_plays,sigma_left,sigma_right,ks_split,ks_split_p,aic_split,skew_a,skew_loc,skew_scale,ks_skew,ks_skew_p,aic_skew,ks_winner,aic_winner
Q1 (worst),17832,2.007433876196165,7.225343248002646,0.25886300412095753,0.0,122116.18559135494,4.204152618747393,-5.985216131926501,8.622487813319669,0.14139596083390094,1.624614719919e-311,108273.49098249883,skew,skew
Q2,18093,2.093157998623821,7.238675460038374,0.28500014589489686,0.0,118821.4037942921,4.40394871438046,-6.024068729936145,8.515809248291113,0.15181577883811048,0.0,109170.22166729244,skew,skew
Q3 (neutral),18735,2.038781522072697,7.37385699948001,0.3063525580194111,0.0,126585.46251205697,4.739167389520542,-6.17792460803549,8.679050062740078,0.1566639621502366,0.0,113334.27221916063,skew,skew
Q4,19516,1.9923402014398186,7.475452942832854,0.3066151836001054,0.0,135220.62948963727,5.052270559834053,-6.264279943760675,8.902201525800518,0.1536571798852988,0.0,118719.15854003961,skew,skew
Q5 (best),20300,1.9924427949277919,8.008032286163958,0.3008257508826077,0.0,143252.43118318857,5.56690139340298,-6.46805406413242,9.271238724529496,0.15727614886857577,0.0,124604.44037437765,skew,skew
